"","ID","Picture","Color","Gender","Q07","Q08","Q09","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27","Q28","Q29","Q31","Q32"
"86","4344","Camel","Green","Female",5,5,5,5,5,5,4,5,2,5,4,4,3,2,5,5,5,4,4,5,5,3,4,5,5
"87","4347","CATERPILLAR","GREEN","Female",4,5,5,5,5,4,4,5,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5
"88","4348","chick","green","Female",4,4,5,5,4,5,4,4,3,5,4,4,3,3,3,4,5,5,4,4,5,4,5,5,5
"89","4350","cow","green","Male",4,4,5,5,5,4,4,5,3,3,3,4,3,4,3,3,4,4,5,4,4,4,4,4,4
"90","4352","Deer","Green","Male",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"91","4353","dog","green","Female",4,4,4,5,5,5,5,4,4,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,5
"92","4355","donkey","green","Male",4,3,4,4,4,4,3,4,3,3,4,3,3,3,3,3,4,4,4,5,4,4,4,4,4
"93","4356","dragonfly","green","Male",4,4,3,4,4,5,4,3,3,4,5,5,4,4,3,3,5,4,4,5,5,5,4,5,5
"94","4357","Duck","Green","Male",4,NA,5,5,5,4,4,4,4,3,4,4,4,4,5,3,4,4,5,4,5,4,5,4,4
"95","4359","elephant","green","Male",4,3,5,5,4,4,5,5,4,4,4,4,3,3,3,4,5,4,4,5,5,5,5,5,5
"96","4360","Flamingo","Green","Male",2,4,4,4,4,4,4,3,1,3,4,3,1,3,2,2,4,2,3,4,4,4,2,4,4
"97","4362","frog","green","Male",3,4,4,3,4,4,4,3,3,4,5,5,4,3,4,4,5,4,4,5,5,5,4,5,5
"98","4363","giraffe","green","Female",4,4,5,5,5,5,5,5,4,4,4,4,5,4,4,5,5,5,5,5,5,5,5,NA,5
"99","4364","goat","green","Female",4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,3,4,4,4,3,4,4
"100","4367","helicopter","green","Female",4,3,4,5,5,4,4,5,3,5,5,5,4,5,5,4,5,3,4,5,5,4,4,5,5
"101","4368","sheep","green","Male",5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"102","4371","bicycle","light blue ","Female",5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,4,5,5,5,4,4,4,5,4,4
"103","4372","Lizard ","Green","Male",4,4,4,4,4,4,3,4,4,4,4,4,4,5,3,4,4,4,4,4,4,4,4,4,3
"104","4373","Llama","Green","Female",4,4,3,4,3,5,4,3,4,4,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5
"105","4374","mouse","green","Male",3,4,4,3,4,4,3,4,4,4,5,4,4,5,2,4,3,4,4,4,5,4,4,4,4
"106","4376","Owl","Green","Male",4,5,5,5,4,5,4,4,5,4,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5
"107","4377","Penguin","Green","Male",3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,5,5,4,5,5
"108","4378","Pig","Green","Female",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4
"109","4379","rabbit ","green ","Female",4,4,4,5,4,4,4,3,5,4,4,4,4,4,4,4,5,5,5,4,4,4,5,4,5
"110","4380","Rhino","Green","Female",4,5,5,5,4,5,5,4,3,5,5,4,4,4,5,5,5,4,5,5,5,5,5,5,5
"111","4381","rocket","green","Male",3,2,4,3,2,4,4,2,3,3,4,3,2,3,4,3,2,2,5,5,4,3,4,4,4
"112","4382","sailboat","green","Female",3,3,4,4,4,4,3,3,3,2,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4
"113","4383","seahorse","green","Male",5,4,4,4,4,5,4,5,5,4,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5
"114","4384","Sea lion ","Green","Female",5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
"115","4390","submarine","green","Male",4,3,4,4,3,4,4,4,4,5,4,4,4,3,5,5,4,4,4,4,4,4,5,5,5
"116","4391","swan","green","Male",3,3,3,4,3,4,3,4,2,3,3,3,3,4,3,3,4,3,3,4,4,2,3,4,4
"117","4394","Train","Green","Female",5,5,5,5,5,5,5,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5
"118","4396","Whale","Green","Female",5,4,4,5,4,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5
"119","4397","Zebra","Green","Female",4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,5,5,4,5,5,5,4,5,5
"120","4400","balloon","lemon","Female",3,4,4,4,4,4,4,3,3,4,4,4,4,4,3,5,4,4,4,4,5,4,4,4,5
"121","4404","Buffalo","Lemon","Female",4,5,5,5,5,5,5,5,2,4,3,2,2,2,2,4,4,4,3,5,5,4,4,5,5
"122","4406","BUTTERFLY","LEMON","Male",4,4,5,5,4,4,4,4,3,4,5,4,3,4,4,4,4,4,3,5,5,3,4,5,5
"123","4407","Camel","Lemon","Male",5,4,4,4,4,4,4,5,4,5,5,4,4,5,3,4,5,4,4,4,4,4,4,4,5
"124","4408","caterpillar","strawberry","Male",4,3,4,3,4,4,4,4,3,2,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4
"125","4410","caterpillar","lemon","Female",4,4,5,4,4,4,4,4,4,4,4,5,5,4,4,5,5,5,4,5,5,4,4,5,5
"126","4411","Chick","Yellow","Female",4,4,4,4,3,4,4,3,3,4,4,4,4,5,3,4,5,3,4,4,5,4,4,4,5
"127","4413","Cow","lemon","Female",4,4,4,4,4,4,3,4,2,2,3,2,3,2,3,4,4,3,4,5,5,3,4,5,5
"128","4415","Deer","Lemon","Male",4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,4,3,3,4,4,3,3,4,4
"129","4417","dolphin","lemon","Male",4,4,5,5,5,4,5,4,3,5,4,4,4,4,5,4,5,5,4,5,5,4,4,5,5
"130","4418","Dragonfly","Lemon","Male",4,3,4,4,4,5,4,4,4,5,5,5,4,4,4,4,5,5,5,5,5,4,5,5,5
"131","4419","Duck","Yellow","Male",5,5,4,5,5,5,5,5,3,4,5,4,3,5,4,5,5,5,5,5,5,5,5,5,5
"132","4421","Elephant","Lemon/yellow","Female",4,5,4,4,4,5,4,4,5,4,4,5,4,4,3,4,5,3,3,5,5,4,3,5,5
"133","4422","flamingo","lemon","Male",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"134","4423","fox","lemon","Male",4,4,5,4,4,5,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"135","4426","goat","yellow ","Female",4,4,4,5,4,5,4,3,4,4,4,5,4,4,4,4,4,4,4,5,5,4,4,5,5
"136","4428","Grasshopper","Lemon","Male",5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,3,4,4,4,5,5,5,4,5,5
"137","4429","Helicopter","Lemon","Female",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"138","4430","Hippo","Lemon","Female",5,5,5,5,3,4,5,3,3,4,4,4,3,4,5,5,5,2,3,5,5,5,3,5,5
"139","4431","Insect ","Lemon ","Female",3,3,3,4,3,4,4,3,3,5,5,5,5,3,4,4,5,4,4,4,4,4,4,3,4
"140","4432","kangaroo","lemon","Female",3,4,3,4,3,4,3,3,1,3,3,4,4,3,2,4,4,3,4,4,3,4,4,4,3
"141","4433","koala","Lemon","Male",5,5,5,5,4,5,4,4,4,4,5,5,4,5,3,4,5,5,5,5,5,5,5,5,5
"142","4435","lizard","light yellow","Female",3,3,2,3,4,4,4,2,4,3,5,4,4,4,4,5,4,4,4,3,3,4,3,5,3
"143","4436","Llama","Lemon","Female",5,5,5,5,5,5,4,4,4,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5
"144","4437","mouse","lemon","Female",5,5,5,4,5,5,4,4,4,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5
"145","4440","pelican","lemon","Male",4,5,3,4,3,5,2,2,1,5,2,2,3,3,1,5,3,3,1,4,4,4,3,4,4
"146","4447","Sealion ","Light yellow ","Female",5,5,5,4,4,5,5,4,4,5,4,5,4,4,5,5,5,4,5,5,5,5,5,5,5
"147","4448","shark","yellow","Female",5,3,5,4,4,5,5,4,4,5,5,5,4,5,3,5,5,5,4,5,4,5,5,4,4
"148","4449","sheep","light yellow","Female",4,5,5,5,4,4,4,4,5,5,5,4,5,4,4,5,3,3,4,4,4,4,3,4,5
"149","4450","Ship","Light Yellow","Female",4,4,4,4,3,4,4,3,4,3,3,3,3,3,3,3,5,3,4,5,5,4,3,4,5
"150","4451","snail","light yellow","Female",4,4,5,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"151","4452","Starfish light yellow ","Light yellow ","Female",1,4,1,1,3,5,4,1,5,4,1,5,4,1,2,5,5,5,1,5,1,5,1,1,1
"152","4453","Submarine","Light yellow","Female",4,4,4,5,4,4,4,4,4,4,4,5,4,4,3,4,5,4,4,4,4,4,4,4,5
"153","4454","Swan ","Light yellow ","Female",4,5,4,5,3,3,4,4,2,3,3,3,3,2,2,4,4,5,5,5,4,3,5,4,5
"154","4455","Tiger ","Light yellow ","Female",4,4,4,4,4,4,4,3,1,4,3,2,4,3,4,1,1,2,2,4,4,1,3,4,4
"155","4456","Tractor","Light yellow","Female",4,4,4,4,4,4,4,5,5,5,4,4,3,4,3,4,5,5,4,4,5,4,4,5,5
"156","4457","Train ","Light yellow","Female",3,4,4,4,4,5,5,4,3,4,4,4,3,4,4,5,4,3,4,4,4,4,5,4,4
"157","4458","Turtle ","Light yellow ","Female",5,4,5,5,5,5,5,5,4,4,4,5,4,4,5,5,5,5,4,5,5,5,5,5,5
"158","4459","whale","light yellow","Female",5,5,5,5,5,5,5,5,4,3,4,4,3,4,4,3,4,4,4,4,5,4,4,5,5
"159","4460","zebra","light yellow","Female",4,4,5,5,4,4,4,4,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5
"160","4461","plane","mint","Male",5,4,3,4,4,4,3,4,2,3,4,5,3,3,4,4,5,5,4,4,4,5,5,5,4
"161","4465","bat","mint","Male",4,3,4,4,4,4,3,4,3,2,4,4,3,5,3,3,5,3,4,5,5,4,3,5,5
"162","4466","Bear","Mint","Male",4,3,4,5,5,5,5,5,4,5,5,5,3,3,4,5,5,4,3,5,5,5,4,5,5
"163","4467","Bicycle","mint","Male",3,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,5,4,4,5,4
"164","4468","Youssuf Muhammad Kamal ","Buffalo","Mint",5,1,4,2,4,1,4,3,4,4,5,5,5,5,5,5,5,5,3,2,5,5,5,5,4
"165","4475","Chick","Mint","Female",3,3,4,4,4,4,4,4,4,3,5,4,3,3,3,3,4,4,2,5,4,4,3,3,5
"166","4476","cobra","mint","Female",5,5,5,5,4,5,5,4,4,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5
"167","4478","crocodile","mint","Female",4,5,5,4,4,5,4,3,4,5,5,5,4,5,3,4,5,5,5,5,4,2,5,5,5
"168","4479","deer","mint","Female",5,5,5,4,5,5,4,4,5,3,5,5,5,5,4,5,5,5,5,5,5,4,4,4,4
"169","4482","donkey ","mint","Female",5,4,5,5,4,5,5,5,3,4,5,5,3,5,3,5,5,5,5,5,5,4,5,5,5
"170","4485","eagle","mint","Male",3,3,4,4,5,4,3,5,5,2,5,5,4,4,4,3,5,4,3,5,5,5,4,5,5
"171","4488","Fox","mint","Male",4,4,5,5,5,5,4,5,3,4,5,4,3,5,5,4,5,4,5,4,5,5,4,5,5
"172","4490","giraffe","mint","Male",4,2,4,4,4,3,4,4,3,2,3,5,3,3,4,5,4,3,4,5,3,4,5,4,4
"173","4491","goat","mint","Female",4,4,4,4,3,4,4,3,3,4,4,5,4,4,3,4,4,4,4,4,5,4,4,4,4
"174","4492","gorilla ","mint ","Female",4,5,5,4,5,4,5,4,4,5,4,5,5,5,4,4,5,5,4,5,4,5,4,4,4
"175","4494","Helicopter","Mint","Female",4,4,5,4,5,5,4,5,3,3,4,4,4,4,5,4,5,4,4,5,5,5,5,4,4
"176","4495","Hippo","Mint","Female",5,5,4,5,5,5,4,4,4,5,5,4,4,5,4,5,5,4,5,5,5,5,5,5,5
"177","4498","koala","Mint ","Female",4,4,4,5,3,4,4,4,4,2,4,4,3,4,4,5,4,4,4,5,5,5,5,5,5
"178","4499","Lion","Mint","Female",3,3,4,3,4,4,4,3,5,3,1,4,2,4,4,3,4,4,4,4,4,1,2,4,5
"179","4500","lizard","mint","Female",4,5,4,4,4,4,5,4,4,4,4,4,4,4,5,5,5,4,4,5,5,5,4,5,5
"180","4501","llama","blue","Female",3,3,4,3,4,4,3,3,5,3,4,5,3,3,3,4,5,3,3,5,4,4,4,5,5
"181","4502","mouse","mint","Female",4,5,4,4,5,4,3,5,5,3,4,4,4,5,3,4,4,4,4,4,4,5,3,4,4
"182","4503","Octopus ","Mint","Female",4,5,4,5,5,4,5,5,4,3,4,5,4,4,4,3,5,4,4,4,4,4,4,4,5
"183","4504","owl","mint","Male",3,4,4,4,4,4,4,4,3,4,5,4,4,4,4,4,5,3,4,4,4,4,3,5,5
"184","4505","Pelican ","Mint","Male",4,4,5,5,4,4,4,4,4,3,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5
"185","4507","rabbit","mint","Male",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"186","4509","Rocket","mint","Male",3,4,4,4,4,4,4,3,5,4,4,4,4,5,5,5,5,4,5,5,5,4,4,4,4
"187","4513","shark ","mint","Female",4,4,5,4,3,5,3,3,4,4,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5
"188","4514","sheep","mint","Female",4,4,4,4,5,5,4,5,3,3,4,4,4,4,4,5,5,5,4,5,5,4,4,4,4
"189","4515","Ship","Mint","Female",4,4,3,3,3,4,4,3,5,4,5,5,4,4,3,5,5,4,4,5,5,5,4,5,5
"190","4517","starfish","mint","Female",4,3,4,4,4,4,4,4,5,5,5,5,4,4,5,5,5,5,4,5,5,5,4,5,5
"191","4518","submarine","mint","Female",3,3,4,4,5,3,4,4,2,2,3,3,3,3,5,3,3,4,3,4,4,4,3,3,4
"192","4519","Swan","Mint","Female",5,5,5,5,4,5,4,4,4,5,5,4,4,4,5,5,3,5,5,5,5,5,5,5,5
"193","4524","whale","mint","Female",4,4,4,4,3,5,4,3,4,5,5,4,3,4,5,3,4,4,5,4,5,4,3,5,4
"194","4527","ant","pink","Male",4,4,4,3,3,4,4,2,1,2,3,3,2,4,3,4,3,3,3,4,4,3,3,4,4
"195","4528"," Armadillo ","Pink","Female",4,4,5,5,4,5,5,4,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5
"196","4531","Bear","Pink","Male",5,4,5,4,5,5,5,5,3,5,4,5,4,5,3,4,5,5,5,5,5,5,5,5,5
"197","4533","Bicycle","Pink","Male",4,4,5,5,4,5,5,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5
"198","4535","Bus","Pink","Female",4,4,4,3,4,5,4,4,5,4,4,4,3,4,4,5,5,4,5,5,4,5,5,5,5
"199","4536","Butterfly ","Pink","Male",4,3,3,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,4,5,4,4,4,4
"200","4537","camel","pink","Male",4,4,4,4,5,4,3,4,4,4,4,5,4,4,5,4,4,4,4,5,4,4,4,4,4
"201","4538","Car","Pink","Male",4,4,4,4,3,4,4,4,5,5,5,5,5,4,5,5,4,5,5,5,5,4,5,5,5
"202","4540","Caterpillar ","Pink","Male",5,5,5,5,5,5,4,5,2,2,1,1,1,2,3,3,5,4,5,5,5,4,4,5,5
