"","ID","Q08post","Q09Post","Q10post","Q11post","Q12post","Q13post","Q14Post","Q15post","Q16post","Q17post","Q18post","Q19post","Q20post","Q21post","Q22post","Q24post"
"104","4373",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"105","4374",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"106","4376",1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1
"107","4377",1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0
"108","4378",1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1
"109","4379",1,1,0,0,1,0,1,1,0,1,0,0,NA,0,1,0
"110","4380",1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1
"111","4382",1,NA,NA,1,1,0,1,1,0,1,0,0,NA,1,1,0
"112","4383",1,1,0,0,1,0,1,0,0,1,0,0,NA,0,1,0
"113","4384",1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
"114","4390",1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
"115","4391",1,1,0,0,0,0,NA,NA,1,1,0,0,0,NA,1,0
"116","4394",1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1
"117","4396",1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1
"118","4397",1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
"119","4400",1,1,0,0,1,0,NA,NA,0,1,0,0,NA,0,1,0
"120","4404",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"121","4406",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"122","4407",1,1,0,1,1,0,0,1,1,1,1,0,NA,NA,1,1
"123","4408",1,NA,NA,1,1,1,0,1,1,1,1,1,1,0,1,0
"124","4410",1,1,1,1,0,1,0,1,1,0,1,0,NA,NA,1,0
"125","4411",1,0,1,1,0,1,NA,NA,1,0,1,0,1,0,1,0
"126","4413",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"127","4415",1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"128","4417",1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0
"129","4418",0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0
"130","4419",1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0
"131","4421",1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1
"132","4422",1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
"133","4423",1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
"134","4426",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"135","4428",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"136","4429",1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
"137","4430",1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
"138","4431",1,0,1,0,1,0,0,1,1,1,1,1,1,NA,1,1
"139","4432",1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1
"140","4433",1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
"141","4435",1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1
"142","4436",1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1
"143","4437",1,1,1,0,1,1,1,1,1,1,0,1,NA,1,1,1
"144","4440",1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0
"145","4447",1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1
"146","4448",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"147","4449",1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
"148","4450",1,1,1,1,1,1,0,1,1,0,0,1,1,NA,1,0
"149","4451",1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0
"150","4452",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"151","4453",0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0
"152","4454",1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
"153","4455",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"154","4456",1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0
"155","4457",1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0
"156","4458",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"157","4459",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"158","4460",1,1,0,1,1,1,0,1,1,1,1,1,NA,1,1,1
"159","4461",1,NA,NA,1,1,1,0,1,1,1,1,1,1,1,1,0
"160","4465",1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0
"161","4466",1,NA,NA,1,1,1,0,1,1,1,1,1,NA,NA,1,1
"162","4467",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"163","4475",0,NA,NA,0,1,0,1,0,0,1,0,0,NA,1,0,0
"164","4476",1,0,1,1,0,1,1,1,1,0,1,0,NA,NA,NA,1
"165","4478",1,NA,NA,0,1,0,0,1,0,0,0,0,0,NA,1,0
"166","4479",1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1
"167","4482",0,NA,NA,1,0,0,1,0,0,0,0,1,NA,0,NA,1
"168","4485",1,0,1,1,1,1,NA,NA,1,1,1,1,NA,0,1,1
"169","4488",1,0,0,0,1,0,NA,NA,0,1,0,0,NA,NA,1,0
"170","4490",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","4491",1,0,1,0,1,0,1,1,0,1,0,0,NA,NA,1,0
"172","4492",1,0,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,0
"173","4494",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","4495",1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0
"175","4498",1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0
"176","4499",1,NA,NA,0,0,1,0,1,1,0,0,0,1,1,1,0
"177","4500",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"178","4501",0,NA,NA,0,0,0,NA,NA,0,1,0,1,NA,NA,1,0
"179","4502",1,NA,NA,0,1,0,0,1,0,1,0,1,1,NA,1,1
"180","4503",1,0,0,1,1,0,0,1,0,0,0,1,NA,1,1,0
"181","4504",1,NA,NA,1,0,1,1,1,1,0,1,0,NA,NA,1,0
"182","4505",0,NA,NA,0,1,0,0,1,0,1,0,0,0,1,1,0
"183","4507",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"184","4509",1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1
"185","4513",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","4514",0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1
"187","4515",1,NA,NA,0,0,0,1,1,0,0,1,0,NA,NA,1,0
"188","4517",1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,1
"189","4518",1,NA,NA,1,1,1,0,0,0,0,0,1,NA,NA,1,1
"190","4519",1,NA,NA,0,0,1,1,1,1,0,1,0,1,NA,1,0
"191","4524",1,0,1,0,1,0,0,1,0,1,1,1,NA,0,1,1
"192","4528",1,NA,NA,0,1,0,1,1,0,0,1,0,1,NA,1,0
"193","4531",1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1
"194","4533",1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1
"195","4535",1,0,0,0,1,0,0,1,1,0,0,0,NA,0,1,0
"196","4536",1,0,0,1,1,0,1,1,1,0,0,1,NA,NA,0,0
"197","4537",1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0
"198","4538",0,NA,NA,1,1,1,0,0,1,0,1,1,1,0,0,0
"199","4540",1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
"200","4543",1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0
"201","4545",1,0,0,1,1,0,1,1,0,0,1,0,NA,NA,1,0
"202","4546",1,1,1,0,1,0,0,1,0,1,0,0,NA,1,1,1
"203","4549",1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1
"204","4550",1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
"205","4551",0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1
"206","4558",1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
"207","4559",1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
"208","4562",0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0
"209","4564",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"210","4566",1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0
"211","4568",1,1,1,0,0,0,1,1,0,1,0,1,1,NA,1,0
"212","45719",0,NA,NA,0,1,0,1,0,0,1,0,0,0,0,NA,0
"213","4574",1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
"214","4578",0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
"215","4584",0,1,0,1,1,1,NA,NA,1,1,1,0,1,1,0,1
"216","4585",0,1,0,0,1,0,0,1,0,1,0,0,0,NA,1,1
"217","4586",1,1,1,0,1,0,NA,NA,0,0,1,1,0,1,1,0
"218","4589",1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
"219","4592",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"220","4596",1,1,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","4597",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","4598",1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1
"223","4599",1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1
"224","4602",1,NA,NA,0,1,0,0,1,0,1,0,0,1,1,1,1
"225","4606",1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0
"226","4607",1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
"227","4608",1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0
"228","4609",1,0,0,0,0,0,0,1,0,0,1,0,1,1,NA,1
"229","4610",0,NA,NA,0,1,0,1,0,0,1,0,0,NA,NA,0,1
"230","4615",0,NA,NA,0,0,0,0,0,1,1,1,0,0,NA,0,0
"231","4616",1,NA,NA,0,1,0,NA,NA,0,0,1,1,1,1,1,0
"232","4617",1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0
"233","4619",0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1
"234","4621",0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1
"235","4626",1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0
"236","4627",1,NA,NA,0,1,0,0,1,1,0,1,1,NA,1,1,0
"237","4656",1,NA,NA,0,1,0,0,1,0,1,0,0,NA,0,1,0
"238","4668",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"239","4686",1,0,1,0,0,0,0,1,0,1,0,1,1,NA,1,0
"240","4693",1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"241","4697",0,NA,NA,1,1,1,0,1,1,1,1,1,1,1,1,0
"242","4702",1,1,0,0,1,0,0,1,0,1,0,0,NA,0,1,0
"243","4704",1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1
"244","4708",1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1
"245","4710",1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1
"246","4712",1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0
"247","4716",1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0
"248","4717",1,NA,NA,1,1,1,NA,NA,1,1,1,1,1,1,1,1
"249","4720",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"250","4722",1,1,1,0,1,0,0,1,0,1,0,1,NA,NA,1,0
"251","4723",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"252","4725",1,1,1,1,1,1,1,1,1,1,0,0,1,NA,1,1
"253","4727",1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0
"254","4730",1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
"255","4734",1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0
"256","4737",1,NA,NA,1,0,0,1,0,0,0,0,1,NA,NA,1,1
"257","4739",1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1
"258","4740",1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1
"259","4743",1,1,0,0,0,0,NA,NA,0,1,1,0,1,1,0,0
"260","4746",1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1
"261","4748",0,0,0,0,0,1,NA,NA,0,0,0,1,NA,0,0,0
"262","4750",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","4752",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","4753",0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0
"265","4754",1,NA,NA,1,0,0,0,0,0,0,0,1,NA,NA,0,0
"266","4755",1,1,0,1,0,0,1,0,0,0,0,1,NA,1,0,0
"267","4756",1,1,0,0,0,1,1,0,0,1,0,0,0,NA,NA,1
"268","4757",1,NA,NA,1,0,1,1,1,0,0,1,0,1,1,1,1
"269","4758",0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0
"270","4760",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"271","4761",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"272","4762",0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1
"273","4763",1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1
"274","4764",1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1
"275","4765",1,NA,NA,1,1,0,0,1,1,1,1,1,1,0,1,1
"276","4767",1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1
"277","4768",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"278","4770",1,1,1,0,1,0,1,0,1,0,1,1,NA,NA,1,0
"279","4771",1,NA,NA,0,1,0,1,0,0,1,0,0,1,0,1,0
"280","4773",1,NA,NA,1,1,0,1,0,0,1,0,1,0,0,1,1
"281","4775",1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0
"282","4777",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"283","4778",0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1
"284","4779",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"285","4780",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"286","4781",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"287","4782",1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0
"288","4783",1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1
"289","4784",1,1,0,1,1,1,0,1,1,1,1,1,1,NA,1,0
"290","4785",1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1
"291","4786",1,1,1,1,1,1,0,1,1,1,1,1,NA,0,1,1
"292","4787",1,NA,NA,1,1,1,0,1,1,1,1,1,NA,1,1,0
"293","4789",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"294","4795",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"295","4799",1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1
"296","4801",1,0,0,0,0,0,0,1,0,1,0,0,1,NA,0,0
"297","4802",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"298","4803",1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1
"299","4805",1,NA,NA,1,0,1,NA,NA,0,0,1,0,0,NA,1,0
"300","4806",1,NA,NA,1,0,1,0,1,1,0,1,1,1,NA,1,0
"301","4807",1,1,1,0,0,0,0,1,0,0,0,1,NA,NA,1,0
"302","4813",1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0
"303","4814",1,1,0,1,0,1,0,1,1,1,1,1,NA,1,1,1
"304","4815",1,0,1,0,0,0,0,0,0,0,0,1,0,NA,1,0
"305","4816",0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
"306","4817",0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1
"307","4819",0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1
"308","4821",1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1
"309","4822",0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1
"310","4824",0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"311","4825",0,0,0,0,0,0,NA,NA,0,0,0,1,1,0,1,0
"312","4826",1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1
"313","4828",1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1
"314","4829",1,NA,NA,1,1,1,1,0,0,0,1,1,NA,NA,1,1
"315","4830",1,1,1,1,1,1,0,1,1,1,1,1,1,NA,1,0
"316","4831",1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0
"317","4832",0,1,0,0,1,0,1,0,0,0,0,1,NA,0,1,0
"318","4833",0,NA,NA,0,0,0,1,0,0,0,0,1,1,1,1,0
"319","4836",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"320","4838",1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0
"321","4839",0,1,1,0,1,0,NA,NA,0,1,1,0,NA,0,1,1
"322","4841",1,1,1,0,1,0,0,1,0,1,1,1,NA,0,1,0
"323","4845",1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0
"324","4846",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"325","4848",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"326","4850",1,1,0,0,1,0,NA,NA,0,1,0,1,NA,NA,1,0
"327","4855",1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0
"328","4860",0,1,0,0,0,1,1,0,0,0,0,0,1,NA,1,1
"329","4861",0,0,0,1,1,1,1,1,1,1,1,1,1,NA,1,0
"330","4862",1,1,1,1,1,1,1,1,1,0,1,1,NA,1,1,1
"331","4863",1,NA,NA,1,1,1,0,1,1,1,1,1,1,1,1,0
"332","4868",1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
"333","4869",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"334","4870",1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0
"335","4871",1,1,0,1,1,1,NA,NA,1,1,0,0,NA,1,1,0
"336","4874",1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
"337","4878",1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1
"338","4879",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"339","4880",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"340","4884",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"341","4885",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"342","4886",1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
"343","4887",1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1
"344","4888",1,1,1,1,1,1,NA,NA,1,1,0,1,1,1,1,0
"345","4896",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"346","4897",1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
"347","4898",1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1
"348","4899",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"349","4900",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"350","4901",1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
"351","4902",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
"352","4903",1,0,1,0,1,1,NA,NA,1,1,0,1,NA,NA,1,0
"353","4904",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
