"","ID","X","Q08","Q09","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q24","Q08post","Q09Post","Q10post","Q11post","Q12post","Q13post","Q14Post","Q15post","Q16post","Q17post","Q18post","Q19post","Q20post","Q21post","Q22post","Q24post"
"42","4285",64,1,1,1,1,1,1,0.5,NA,1,1,1,1,0.5,0.5,1,1,1,1,1,1,0,1,NA,NA,1,1,1,1,1,1,1,1
"43","4286",65,0,0.5,NA,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,NA,NA,1,1,1,1,1,1,1,0
"44","4287",66,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1
"45","4288",67,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1
"46","4289",68,1,1,0,0,1,0,1,0,0,1,0,0,0.5,0.5,0,0,1,1,0,0,1,0,0,0,0,1,0,1,NA,1,1,0
"47","4290",69,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
"48","4291",70,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"49","4293",75,1,0.5,NA,1,0,1,0,0,0,0,0,0,0.5,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0
"50","4293F",76,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,NA,0,0,1,0
"51","4294",77,1,0.5,NA,0,0,0,1,0,0,0,0,0,0,0,1,0,1,NA,NA,1,0,1,0,1,1,0,1,1,0,NA,1,0
"52","4294F",78,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
"53","4295",79,1,0,1,1,1,0,0,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"54","4297",81,1,0,0,0,0,0,1,1,0,1,0,0,0,0.5,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1
"55","4299",82,NA,NA,NA,NA,1,NA,1,0,0,1,0,0,0.5,0.5,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0
"56","4300",83,0,0.5,NA,0,1,0,1,0,0,1,0,0,0.5,0,1,0,1,0,0,0,1,0,NA,NA,0,1,0,0,NA,0,1,0
"57","4301",84,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1
"58","4302",85,0,0.5,NA,0,1,0,1,0,0,1,0,0,0.5,0,NA,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
"59","4304",87,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0
"60","4305",88,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
"61","4309",91,1,1,1,0,1,0,0,1,0,1,0,NA,0.5,0.5,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"62","4310",92,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,NA,NA,1,0
"63","4313",95,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0
"64","4314",96,1,1,0,1,0,0,0,0,0,0,1,0,0.5,0.5,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1
"65","4315",97,1,0.5,NA,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0
"66","4316",98,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,NA,1,0
"67","4318",100,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,NA,NA,0,0,1,0,NA,0,0,0
"68","4319",101,1,0.5,NA,0,1,0,1,0,0,1,0,1,0.5,1,0,1,1,1,0,0,0,1,NA,NA,0,0,0,1,NA,NA,1,1
"69","4321",102,1,0.5,NA,0,1,0,1,1,0,1,0,1,0.5,0,NA,0,0,1,0,0,1,1,1,0,0,1,0,1,0,NA,0,0
"70","4322",103,1,0.5,NA,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"71","4324",104,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1
"72","4326",106,1,0.5,NA,1,0,0,0,1,0,0,0,0,1,0.5,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0
"73","4327",108,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"74","4328",109,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"75","4334",113,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0
"76","4335",114,1,1,1,1,0,0,0,1,0,1,1,1,0.5,0.5,1,1,1,NA,NA,0,1,0,0,0,0,0,0,0,NA,0,1,0
"77","4339",117,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1
"78","4341",118,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"79","4342",119,1,1,1,1,1,1,0.5,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"80","4343",120,1,0.5,NA,0,1,0,0.5,NA,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1
"81","4344",121,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,0
"82","4347",124,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"83","4348",125,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1
"84","4350",126,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"85","4352",127,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","4353",128,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0
"87","4355",130,1,1,1,1,1,1,0,1,1,1,1,1,1,0.5,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,NA,1,1
"88","4356",131,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0
"89","4357",132,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1
"90","4359",135,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"91","4360",136,1,0.5,NA,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0
"92","4362",137,1,0.5,NA,0,1,0,0,1,0,1,1,1,1,0.5,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1
"93","4363",138,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"94","4364",139,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1
"95","4367",142,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"96","4371",144,1,0.5,NA,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
"97","4372",145,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0
"98","4373",146,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"99","4374",147,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"100","4376",149,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1
"101","4379",150,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,NA,0,1,0
"102","4380",151,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1
"103","4382",153,1,0.5,NA,0,0,0,1,1,0,1,0,0,1,0,1,0,1,NA,NA,1,1,0,1,1,0,1,0,0,NA,1,1,0
"104","4383",154,1,1,0,1,0,0,1,0,0,1,0,1,0,0.5,1,0,1,1,0,0,1,0,1,0,0,1,0,0,NA,0,1,0
"105","4384",155,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
"106","4390",159,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
"107","4391",160,1,0.5,NA,1,1,0,1,1,0,0,0,0,0.5,0,1,1,1,1,0,0,0,0,NA,NA,1,1,0,0,0,NA,1,0
"108","4394",163,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1
"109","4396",165,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1
"110","4397",166,1,0.5,NA,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
"111","4400",168,1,0,1,0,0,0,0.5,NA,0,0,1,0,0.5,0.5,1,0,1,1,0,0,1,0,NA,NA,0,1,0,0,NA,0,1,0
"112","4404",170,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"113","4406",171,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"114","4407",172,1,0.5,NA,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,NA,NA,1,1
"115","4408",173,1,0.5,NA,0,0,0,0.5,NA,0,0,0,0,1,0.5,0,1,1,NA,NA,1,1,1,0,1,1,1,1,1,1,0,1,0
"116","4410",174,1,1,1,1,0,1,0.5,NA,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,NA,NA,1,0
"117","4411",175,0,1,1,1,0,1,0.5,NA,1,0,1,0,1,0,1,0,1,0,1,1,0,1,NA,NA,1,0,1,0,1,0,1,0
"118","4413",176,0,1,1,1,1,1,0.5,NA,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"119","4419",179,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0
"120","4421",181,NA,NA,NA,0,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1
"121","4423",182,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
"122","4426",184,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"123","4428",186,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"124","4429",187,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
"125","4430",188,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
"126","4431",189,1,0,1,0,1,1,0,1,0,1,0,1,1,0.5,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,NA,1,1
"127","4432",190,1,0,1,1,0,1,0,1,1,0,1,0,0.5,0.5,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1
"128","4433",191,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
"129","4435",193,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1
"130","4436",194,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1
"131","4437",195,1,0.5,NA,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,NA,1,1,1
"132","4440",197,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0
"133","4447",202,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1
"134","4448",203,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"135","4449",204,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
"136","4450",205,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,NA,1,0
"137","4451",206,1,0,0,1,1,0,0,1,1,1,1,1,0.5,0.5,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0
"138","4452",207,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"139","4453",208,0,0.5,NA,0,1,0,0,1,0,1,1,1,0.5,0.5,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0
"140","4454",209,1,1,0,0,0,0,1,0,0,1,0,0,0,0.5,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
"141","4455",210,1,1,0,0,0,0,0.5,NA,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"142","4456",211,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0
"143","4457",212,1,1,1,0,1,0,1,0,0,1,0,0,0,1,NA,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0
"144","4458",213,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"145","4459",214,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"146","4460",215,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,NA,1,1,1
"147","4461",216,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,0,1,1,1,1,1,1,1,1,0
"148","4465",219,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0
"149","4467",220,1,1,1,0,1,0,1,0,0,1,0,0,0,0,NA,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"150","4476",222,1,0,1,1,1,0,1,0,0,1,0,0,0,0,NA,1,1,0,1,1,0,1,1,1,1,0,1,0,NA,NA,NA,1
"151","4478",223,0,1,1,0,0,0,0,1,0,1,0,1,0.5,1,0,0,1,NA,NA,0,1,0,0,1,0,0,0,0,0,NA,1,0
"152","4479",224,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1
"153","4482",226,1,0,1,0,1,0,1,0,0,0,1,0,1,0.5,1,1,0,NA,NA,1,0,0,1,0,0,0,0,1,NA,0,NA,1
"154","4485",229,1,0.5,NA,0,1,0,1,0,0,1,0,0,1,0.5,1,0,1,0,1,1,1,1,NA,NA,1,1,1,1,NA,0,1,1
"155","4488",230,0,1,0,0,1,0,0,1,0,1,0,0,1,0.5,0,0,1,0,0,0,1,0,NA,NA,0,1,0,0,NA,NA,1,0
"156","4490",231,0,0.5,NA,0,0,0,1,1,0,0,1,0,0.5,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","4492",232,1,0.5,NA,0,0,1,0.5,NA,0,1,0,0,0.5,0.5,1,0,1,0,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,0
"158","4494",233,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","4495",234,1,0.5,NA,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0
"160","4498",235,1,1,1,0,0,0,0,0,0,1,0,0,0.5,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0
"161","4499",236,1,0,0,0,1,1,0,1,0,1,0,0,0.5,0,1,0,1,NA,NA,0,0,1,0,1,1,0,0,0,1,1,1,0
"162","4500",237,1,1,0,1,1,1,0.5,NA,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"163","4501",238,0,0.5,NA,0,1,0,1,0,0,1,0,1,0.5,0,1,0,0,NA,NA,0,0,0,NA,NA,0,1,0,1,NA,NA,1,0
"164","4502",239,1,0.5,NA,0,1,0,0.5,NA,0,1,1,1,1,0.5,1,1,1,NA,NA,0,1,0,0,1,0,1,0,1,1,NA,1,1
"165","4503",240,1,0.5,NA,0,1,0,1,1,0,1,0,1,0.5,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,NA,1,1,0
"166","4505",241,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,NA,NA,0,1,0,0,1,0,1,0,0,0,1,1,0
"167","4507",243,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"168","4509",245,0,0.5,NA,0,1,0,0.5,NA,0,1,0,0,0.5,0.5,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1
"169","4513",247,0,0.5,NA,0,0,0,1,0,0,0,0,1,0.5,0.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","4514",248,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1
"171","4515",249,1,0.5,NA,0,1,0,0,0,0,0,0,0,0.5,0.5,1,0,1,NA,NA,0,0,0,1,1,0,0,1,0,NA,NA,1,0
"172","4517",250,1,1,1,1,1,1,0.5,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,1
"173","4518",251,1,0.5,NA,0,1,0,0.5,NA,0,1,0,0,0.5,1,1,1,1,NA,NA,1,1,1,0,0,0,0,0,1,NA,NA,1,1
"174","4524",255,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,NA,0,1,1
"175","4531",257,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1
"176","4533",258,1,0,1,0,1,0,0,1,0,1,0,0,1,0,NA,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1
"177","4535",259,1,0.5,NA,1,0,1,1,0,0,1,0,1,0.5,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,NA,0,1,0
"178","4536",260,1,0.5,NA,1,1,0,0,0,1,1,0,1,0.5,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,NA,NA,0,0
"179","4537",261,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0
"180","4540",263,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
"181","4543",266,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0
"182","4545",267,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,NA,NA,1,0
