"","ID","Q08","Q09","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q24"
"60","4282K",1,0.5,NA,1,0,1,1,1,1,0,1,0,1,0.5,1,1
"61","4283",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
"62","4283F",1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
"63","4284",1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0
"64","4285",1,1,1,1,1,1,0.5,NA,1,1,1,1,0.5,0.5,1,1
"65","4286",0,0.5,NA,1,1,1,0,1,1,1,1,1,1,1,1,0
"66","4287",1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1
"67","4288",1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1
"68","4289",1,1,0,0,1,0,1,0,0,1,0,0,0.5,0.5,0,0
"69","4290",1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
"70","4291",0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1
"71","4291F",1,0.5,NA,NA,1,NA,0,1,0,1,0,NA,1,1,1,1
"72","4292BM",1,0,0,0,1,0,0.5,NA,0,1,0,0,0,0,1,1
"73","4292F",1,1,0,0,1,0,1,0,0,1,0,0,0.5,0.5,1,1
"74","4292R",1,0.5,NA,0,1,0,0,1,1,1,1,1,1,1,1,0
"75","4293",1,0.5,NA,1,0,1,0,0,0,0,0,0,0.5,1,1,0
"76","4293F",1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0
"77","4294",1,0.5,NA,0,0,0,1,0,0,0,0,0,0,0,1,0
"78","4294F",1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0
"79","4295",1,0,1,1,1,0,0,1,1,1,1,1,0.5,1,1,1
"80","4296",1,0.5,NA,0,1,0,1,1,0,1,0,0,0,0,1,0
"81","4297",1,0,0,0,0,0,1,1,0,1,0,0,0,0.5,0,1
"82","4299",NA,NA,NA,NA,1,NA,1,0,0,1,0,0,0.5,0.5,0,0
"83","4300",0,0.5,NA,0,1,0,1,0,0,1,0,0,0.5,0,1,0
"84","4301",1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0
"85","4302",0,0.5,NA,0,1,0,1,0,0,1,0,0,0.5,0,NA,0
"86","4303",1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
"87","4304",0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0
"88","4305",1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1
"89","4307",0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1
"90","4308",1,1,0,1,0,0,1,0,0,0,0,0,1,0.5,1,1
"91","4309",1,1,1,0,1,0,0,1,0,1,0,NA,0.5,0.5,1,1
"92","4310",0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0
"93","4311",1,0.5,NA,0,1,0,0,1,0,1,0,0,0.5,0.5,1,0
"94","4312",0,1,1,0,0,1,1,0,0,0,0,1,NA,1,1,NA
"95","4313",1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1
"96","4314",1,1,0,1,0,0,0,0,0,0,1,0,0.5,0.5,1,1
"97","4315",1,0.5,NA,1,1,1,1,1,0,1,1,1,1,1,1,0
"98","4316",1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0
"99","4317",1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1
"100","4318",0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0
"101","4319",1,0.5,NA,0,1,0,1,0,0,1,0,1,0.5,1,0,1
"102","4321",1,0.5,NA,0,1,0,1,1,0,1,0,1,0.5,0,NA,0
"103","4322",1,0.5,NA,0,1,0,1,0,0,1,0,0,1,0,0,0
"104","4324",1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1
"105","4325",1,1,1,0,1,1,0,1,0,1,0,0,1,0.5,1,1
"106","4326",1,0.5,NA,1,0,0,0,1,0,0,0,0,1,0.5,0,0
"107","4326F",1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0
"108","4327",1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0
"109","4328",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"110","4329",0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0
"111","4330",1,1,0,0,0,0,1,1,0,1,0,0,0.5,0.5,1,1
"112","4332",1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0
"113","4334",0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1
"114","4335",1,1,1,1,0,0,0,1,0,1,1,1,0.5,0.5,1,1
"115","4337",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"116","4338",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"117","4339",1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1
"118","4341",1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0
"119","4342",1,1,1,1,1,1,0.5,NA,1,1,1,1,1,1,1,1
"120","4343",1,0.5,NA,0,1,0,0.5,NA,0,1,0,0,0,0,1,0
"121","4344",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"122","4345",1,0.5,NA,0,1,0,1,1,0,1,0,0,0.5,0.5,0,0
"123","4346",1,1,1,0,1,0,0.5,NA,0,1,0,0,1,0,1,0
"124","4347",1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
"125","4348",1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1
"126","4350",0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0
"127","4352",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"128","4353",1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1
"129","4353F",1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1
"130","4355",1,1,1,1,1,1,0,1,1,1,1,1,1,0.5,1,1
"131","4356",1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0
"132","4357",1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1
"133","4358",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
"134","4358F",1,0.5,NA,0,1,0,1,1,0,1,0,0,1,0,1,0
"135","4359",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"136","4360",1,0.5,NA,0,1,1,1,1,0,0,0,1,1,1,1,0
"137","4362",1,0.5,NA,0,1,0,0,1,0,1,1,1,1,0.5,1,1
"138","4363",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"139","4364",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"140","4365",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"141","4366",1,1,1,1,1,1,0.5,NA,1,1,1,1,1,1,1,1
"142","4367",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"143","4370",1,0.5,NA,0,1,0,1,1,0,1,0,0,0.5,1,1,0
"144","4371",1,0.5,NA,1,1,0,0,1,0,0,1,0,1,1,1,1
"145","4372",1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0
"146","4373",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
"147","4374",1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1
"148","4375",1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
"149","4376",1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1
"150","4379",1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0
"151","4380",1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
"152","4381",1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1
"153","4382",1,0.5,NA,0,0,0,1,1,0,1,0,0,1,0,1,0
"154","4383",1,1,0,1,0,0,1,0,0,1,0,1,0,0.5,1,0
"155","4384",1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0
"156","4385",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"157","4386",1,0,0,0,1,0,0,0,0,1,0,0,1,1,NA,0
"158","4389",1,0,0,0,1,0,0,0,0,0,0,1,1,1,NA,1
"159","4390",0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1
"160","4391",1,0.5,NA,1,1,0,1,1,0,0,0,0,0.5,0,1,1
"161","4392",1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1
"162","4393",1,0,1,0,0,0,1,1,0,0,0,0,0.5,0,1,0
"163","4394",1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1
"164","4395",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"165","4396",1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1
"166","4397",1,0.5,NA,0,0,0,0,1,0,0,0,0,1,1,1,0
"167","4399",1,0.5,NA,0,1,1,0,1,0,1,0,0,1,0,0,0
"168","4400",1,0,1,0,0,0,0.5,NA,0,0,1,0,0.5,0.5,1,0
"169","4401",1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
"170","4404",0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1
"171","4406",1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0
"172","4407",1,0.5,NA,0,0,0,1,1,1,1,1,1,0,0,0,0
"173","4408",1,0.5,NA,0,0,0,0.5,NA,0,0,0,0,1,0.5,0,1
"174","4410",1,1,1,1,0,1,0.5,NA,1,0,1,1,1,0,1,0
"175","4411",0,1,1,1,0,1,0.5,NA,1,0,1,0,1,0,1,0
"176","4413",0,1,1,1,1,1,0.5,NA,1,1,1,1,1,0.5,1,1
"177","4414",1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1
"178","4416",0,0.5,NA,0,1,0,0,0,0,0,0,0,1,1,1,0
"179","4419",1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
"180","4420",0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0
"181","4421",NA,NA,NA,0,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0
"182","4423",0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"183","4424",1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0
"184","4426",1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1
"185","4427",1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"186","4428",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"187","4429",1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0
"188","4430",1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1
"189","4431",1,0,1,0,1,1,0,1,0,1,0,1,1,0.5,1,1
"190","4432",1,0,1,1,0,1,0,1,1,0,1,0,0.5,0.5,1,1
"191","4433",1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
"192","4434",1,1,0,1,0,1,0,1,1,1,0,1,0.5,0.5,0,0
"193","4435",0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
"194","4436",1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1
"195","4437",1,0.5,NA,0,1,0,1,1,0,1,0,0,0,1,1,1
"196","4438",0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1
"197","4440",1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1
"198","4441",1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0
"199","4442",1,0.5,NA,0,0,1,1,1,0,1,1,0,0,0,1,0
"200","4443",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"201","4446",1,0,0,0,1,0,0,1,1,1,1,1,1,0.5,1,1
"202","4447",1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1
"203","4448",0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"204","4449",1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1
"205","4450",1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1
"206","4451",1,0,0,1,1,0,0,1,1,1,1,1,0.5,0.5,1,0
"207","4452",0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
"208","4453",0,0.5,NA,0,1,0,0,1,0,1,1,1,0.5,0.5,1,0
"209","4454",1,1,0,0,0,0,1,0,0,1,0,0,0,0.5,1,0
"210","4455",1,1,0,0,0,0,0.5,NA,0,1,1,1,1,0,1,1
"211","4456",1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0
"212","4457",1,1,1,0,1,0,1,0,0,1,0,0,0,1,NA,0
"213","4458",1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
"214","4459",1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1
"215","4460",1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"216","4461",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"217","4463",1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0
"218","4464",1,0.5,NA,0,0,0,1,1,0,1,0,0,0.5,1,NA,0
"219","4465",0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0
"220","4467",1,1,1,0,1,0,1,0,0,1,0,0,0,0,NA,0
"221","4472",0,0.5,NA,0,0,0,1,0,0,1,0,0,0.5,1,1,1
"222","4476",1,0,1,1,1,0,1,0,0,1,0,0,0,0,NA,1
"223","4478",0,1,1,0,0,0,0,1,0,1,0,1,0.5,1,0,0
"224","4479",1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1
"225","4480",1,1,1,0,1,0,1,1,0,1,0,0,0.5,0,NA,1
"226","4482",1,0,1,0,1,0,1,0,0,0,1,0,1,0.5,1,1
"227","4483",0,0,1,0,1,1,1,1,0,1,0,1,0.5,0,0,0
"228","4484",1,1,0,0,0,0,1,0,0,1,0,0,0.5,0.5,0,1
"229","4485",1,0.5,NA,0,1,0,1,0,0,1,0,0,1,0.5,1,0
"230","4488",0,1,0,0,1,0,0,1,0,1,0,0,1,0.5,0,0
"231","4490",0,0.5,NA,0,0,0,1,1,0,0,1,0,0.5,0,0,0
"232","4492",1,0.5,NA,0,0,1,0.5,NA,0,1,0,0,0.5,0.5,1,0
"233","4494",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"234","4495",1,0.5,NA,0,1,0,1,1,0,1,0,0,1,0,1,0
"235","4498",1,1,1,0,0,0,0,0,0,1,0,0,0.5,0,1,0
"236","4499",1,0,0,0,1,1,0,1,0,1,0,0,0.5,0,1,0
"237","4500",1,1,0,1,1,1,0.5,NA,1,1,1,1,1,1,1,1
"238","4501",0,0.5,NA,0,1,0,1,0,0,1,0,1,0.5,0,1,0
"239","4502",1,0.5,NA,0,1,0,0.5,NA,0,1,1,1,1,0.5,1,1
"240","4503",1,0.5,NA,0,1,0,1,1,0,1,0,1,0.5,0,0,0
"241","4505",0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0
"242","4506",1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0
"243","4507",1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0
"244","4508",1,1,1,0,0,0,0.5,NA,0,1,0,0,0.5,0.5,NA,0
"245","4509",0,0.5,NA,0,1,0,0.5,NA,0,1,0,0,0.5,0.5,1,0
"246","4510",0,1,1,0,1,0,0,1,0,1,0,0,1,0.5,0,1
"247","4513",0,0.5,NA,0,0,0,1,0,0,0,0,1,0.5,0.5,0,0
"248","4514",1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0
"249","4515",1,0.5,NA,0,1,0,0,0,0,0,0,0,0.5,0.5,1,0
"250","4517",1,1,1,1,1,1,0.5,NA,1,1,1,1,1,1,1,1
"251","4518",1,0.5,NA,0,1,0,0.5,NA,0,1,0,0,0.5,1,1,1
"252","4520",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"253","4521",1,0,1,0,1,0,0,1,0,1,0,0,1,0.5,1,0
"254","4522",1,0.5,NA,1,0,0,0,1,0,1,0,0,0.5,0.5,1,1
"255","4524",0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1
"256","4527",0,1,1,0,1,0,0.5,NA,0,1,0,0,1,1,1,0
"257","4531",0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0
"258","4533",1,0,1,0,1,0,0,1,0,1,0,0,1,0,NA,1
"259","4535",1,0.5,NA,1,0,1,1,0,0,1,0,1,0.5,0,1,0
"260","4536",1,0.5,NA,1,1,0,0,0,1,1,0,1,0.5,1,1,0
"261","4537",1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0
"262","4539",1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
"263","4540",0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1
"264","4541",1,0,1,1,1,0,1,1,1,1,0,0,0.5,0,1,1
"265","4542",1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"266","4543",1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0
"267","4545",1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"268","4546",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"269","4548",0,1,1,1,0,1,1,1,1,0,1,1,1,0.5,1,0
"270","4549",0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1
"271","4550",1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0
"272","4553",1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0
"273","4554",1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
"274","4558",0,0.5,NA,0,1,0,1,0,0,0,0,1,0.5,1,1,1
"275","4559",1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
"276","4560",1,0.5,NA,1,0,0,0,0,1,0,0,0,1,0.5,NA,1
"277","4562",1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0
"278","4563",1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1
"279","4564",1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0
"280","4566",1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0
"281","4568",1,0,1,0,0,0,0,1,0,0,0,1,1,0.5,1,0
"282","4569",0,0,0,0,1,1,0,1,0,0,0,1,0,0.5,1,0
"283","45710",1,0.5,NA,0,0,0,1,1,0,1,0,0,0,0,1,0
"284","45719",0,0.5,NA,0,1,0,1,0,0,1,1,1,0,0,NA,0
"285","4572",0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0
"286","4573",0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0
"287","4574",1,0.5,NA,0,0,1,1,0,1,1,1,0,1,1,0,0
"288","4578",0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0
"289","4579",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"290","4581",1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
"291","4581F",1,1,0,0,1,0,1,1,0,1,1,1,0.5,0,0,0
"292","4583",1,1,0,0,1,0,0.5,NA,1,0,0,0,0.5,0.5,1,0
"293","4585",1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0
"294","4586",0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0
"295","4588",0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"296","4589",0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0
"297","4591",0,0.5,NA,0,0,0,0.5,NA,0,1,0,0,0.5,0.5,1,0
"298","4592",1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0
"299","4595",1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
"300","4598",1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1
"301","4599",1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0
"302","4600",1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,1,0
"303","4601",0,1,0,1,1,1,0.5,NA,1,1,1,0,0,0.5,1,1
"304","4602",0,0.5,NA,0,0,0,1,1,0,1,0,0,0.5,0,1,1
"305","4604",1,0,0,0,1,0,0,0,0,1,0,0,0.5,0,0,1
"306","4606",1,0.5,NA,0,1,0,1,1,0,1,0,0,1,0,1,1
"307","4607",1,0,0,0,0,1,1,1,0,1,0,0,0.5,1,1,1
"308","4608",0,0.5,NA,0,1,0,1,1,0,1,0,0,0,0,1,0
"309","4609",1,0,0,0,0,0,1,0,0,0,1,0,0.5,0,0,1
"310","4610",0,0.5,NA,0,0,1,1,0,0,1,0,1,0.5,0.5,0,1
"311","4611",0,0.5,NA,1,1,1,0.5,NA,1,1,1,1,0.5,1,NA,0
"312","4613",0,0,0,0,0,0,1,0,0,1,0,1,0.5,0,1,1
"313","4616",1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"314","4617",0,0.5,NA,0,0,0,1,1,0,1,0,1,0.5,0.5,1,0
"315","4619",1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1
"316","4620",1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
"317","4623",1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0
"318","4626",0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0
"319","4627",1,0.5,NA,0,0,0,1,1,1,0,1,0,1,0,1,0
"320","4631",1,0,0,0,1,1,1,0,0,1,0,1,0.5,0,0,0
"321","4632",1,1,0,1,1,0,0.5,NA,0,0,1,0,1,1,1,0
"322","4635",1,0.5,NA,0,1,0,1,1,1,1,0,0,1,0,1,1
"323","4636",1,0.5,NA,0,1,0,1,1,0,1,1,1,1,0.5,1,1
"324","4637",1,1,1,1,0,1,0,1,1,1,1,1,0,0.5,1,1
"325","4639",0,1,0,0,1,1,1,1,0,1,0,1,0.5,0.5,1,0
"326","4642",1,0,1,0,0,0,1,1,0,1,1,1,0,0,NA,0
"327","4643",1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0
"328","4645",1,0,1,0,1,0,1,0,0,1,0,0,1,0.5,0,0
"329","4646",1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1
"330","4648",1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1
"331","4650",1,0.5,NA,0,1,1,0.5,NA,0,1,0,1,0.5,0.5,1,0
"332","4652",1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
"333","4653",1,0.5,NA,0,1,1,0,1,0,1,0,0,0,1,1,0
"334","4653F",1,0.5,NA,0,1,0,1,0,0,0,1,0,0,0.5,1,0
"335","4656",1,0.5,NA,1,1,0,0,1,0,0,0,0,0.5,0.5,NA,0
"336","4657",1,0.5,NA,1,1,0,0,0,0,1,0,0,0.5,0.5,0,0
"337","46571",0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1
"338","4659",1,1,1,0,1,0,1,1,0,1,0,0,0,0.5,1,1
"339","4660",1,1,1,0,1,0,0.5,NA,0,0,1,0,0,0,1,0
"340","4663",0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1
"341","4664",1,0.5,NA,0,1,0,1,1,0,0,1,0,1,0.5,0,1
"342","4665",1,1,1,0,1,0,1,1,0,1,0,0,0.5,0.5,1,1
"343","4666",1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
"344","4667",1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0
"345","4668",1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA,1
