"","ID","Gender","Age","FM_Per.ACC","FM_EFF2","SS_ACC","SS_EFF","CB_PerCorrect","CB_EFF","SE_P","PAV","PAp","MG_P","SE_S","TV","MG_S","PostScore","PreScore","DoB","Certificate"
"11","4243","Female",13.423856576091,93.75,61.42,73.15,96.69,65.5172413793103,9.30392228621855,-0.260228376000509,0.206043902222,-0.119391770587057,-0.160427654832128,-0.735393077431667,-0.613879455993296,-0.729150182021214,12,14,"2006-11-14","IGCSE (British)"
"12","4244","Male",12.9581480649749,75.78,58.66,95.37,57.21,48.2758620689655,6.04014539492843,-0.298977332074948,0.75947971112071,0.122624189687549,-0.456117964645478,-0.717832968177611,-0.175788838431351,-0.536642658299147,7,6,"2007-04-27","IGCSE (British)"
"13","4245","Female",13.6072984504828,100,56.87,93.52,80.4,71.875,6.37231471380718,0.732107228194499,0.493655476139211,-0.174696921741065,0.544896459547589,0.149574581959463,-0.208099282339474,-0.10315610542393,11,15,"2006-09-24","IGCSE (British)"
"14","4247","Male",13.0601092896175,96.09,59.58,96.3,94.73,62.5,6.1161181731889,0.637550147857094,-0.803047139560904,-1.09036653026755,0.121387817795499,0.906920510326873,0.0773868979615422,0.339085215915581,13,8.5,"2007-03-21","IGCSE (British)"
"15","4248","Female",13.6320757541732,98.44,87.5,96.7,72.65,75,7.11825397139253,0.448773460727284,-0.313846249486999,-0.197276517832851,0.498671903726627,0.738531970419482,1.58763962732862,1.37963914862251,12,11,"2006-08-30","IGCSE (British)"
"16","4249","Female",13.9416647952691,96.85,102.64,90.48,85.94,51.8518518518518,8.82005644836127,0.421373963305585,0.136204792214545,0.423594488807277,0.505549254460829,0.274277074895162,0.410682768265141,-0.157652158990946,14.5,12.5,"2006-05-09","IGCSE (British)"
"17","4257","Female",12.4869151882626,94.53,70.28,90.74,152.29,67.741935483871,7.16163817357765,0.455163040304896,0.326766785868963,0.79542904567527,0.275222166376903,0.876835613713928,-0.685045912065127,-0.395396716772976,10,6,"2007-10-16","IGCSE (British)"
"18","4258","Male",14.478651096639,71.88,30.07,100,47.27,53.3333333333333,6.37120216620874,-0.0680813295939825,1.65817502311461,1.75293471279289,0.21206071404827,0.365499103223046,0.692928007969045,0.389045987519778,7,11.5,"2005-10-25","IGCSE (British)"
"19","4259","Female",12.5937645033311,98.44,53.88,78.7,74.09,43.4782608695652,3.61607678811381,0.857109168502157,0.408213599157126,0.631710862777093,0.92323738509392,0.655811331508427,1.22574644628133,0.645905543205924,12,8,"2007-09-07","IGCSE (British)"
"20","4260","Male",15.3306010928962,97.66,76.96,90.63,113.19,63.3333333333333,12.5602351999722,0.275648480634205,-0.31141285943628,-0.45767270941373,0.0569345536055061,0.90109727664705,0.69718756330254,0.673446739570882,10,9.5,"2004-12-19","IGCSE (British)"
"21","4261","Female",13.0874316939891,89.06,96.59,85.19,166.75,65.625,8.64039047511567,0.176065534032537,-0.121283000341495,0.326353183819992,0.205129429640727,0.0183781545205334,-0.440167804069749,-0.239748206125126,14,16,"2007-03-11","IGCSE (British)"
"22","4267","Female",12.7499288868927,94.53,55.74,84.26,116.47,60.7142857142857,7.55683577243936,0.385723267551561,0.36407107011115,1.01234301084684,-0.271386654217625,-0.107034365071947,0.92249273054714,0.582752147064261,11,10,"2007-07-12","IGCSE (British)"
"23","4268","Female",13.2568306010929,99.22,76.51,87.04,69.68,68.75,6.06637922390454,-0.570475269803927,0.30450718403921,-0.329695831102602,-0.702247492434216,-0.577262564718582,0.453791220021207,0.205033204790062,13,11.5,"2007-01-14","IGCSE (British)"
"24","4269","Female",13.7115278089677,95.31,76.05,95.37,75.9,42.3076923076923,5.4255175091763,-0.147575059620635,1.14476139028705,0.636835171689155,-0.282324329101838,0.127054578123067,-0.586682928885474,-0.415417086410192,6.5,7.5,"2006-08-01","IGCSE (British)"
"25","4271","Male",14.2896174863388,97.66,80.18,84.26,97.17,71.875,7.69353382478871,0.484153490845276,-0.0971273311130676,-0.216947908436499,0.371393922000509,-0.702603312246667,0.330127974642185,0.292140298246857,15,13,"2006-01-02","IGCSE (British)"
"26","4273","Male",12.9718466951119,93.75,46.58,98.15,57.02,65.625,7.80228272500297,0.94301989218959,-0.087124434004793,-0.0329001389144511,0.37683876820618,0.312338427523404,0.557073302853732,0.564221077730742,13,14,"2007-04-22","IGCSE (British)"
"27","4275","Male",13.0437158469945,84.38,112.73,5.56,17.34,65.5172413793103,8.58205850539053,0.582874752149278,0.479084136989606,0.05768437802715,0.299437983172654,0.532625300219718,0.794560435419203,0.681346188983145,13,14,"2007-03-27","IGCSE (British)"
"28","4276","Male",12.475956284153,93.65,74.13,91.67,159.61,59.375,7.8827569822448,0.408364320370693,-1.17550045869981,-0.938321616351801,0.4585055216793,-0.15038301547653,0.661109736288316,0.330243855244058,13,15,"2007-10-20","IGCSE (British)"
"29","4277","Male",13.0573770491803,96.88,68.56,90.74,135.18,71.875,1.55240059236555,-0.228216848267421,-0.636144814481965,-0.458062978235864,-0.433337782741008,-0.0926006478031798,-0.862251046371348,-0.551242284983916,12,8.5,"2007-03-22","IGCSE (British)"
"30","4278","Male",13.5909499214013,97.66,119.12,94.44,79.3,60,8.31953164118168,-0.650190622623976,-0.931082992168062,-0.880028450155217,-1.0513925895244,-1.3466594583496,-0.998670509081626,-1.20650716890446,11,11.5,"2006-09-18","American Diploma"
"31","4279","Male",13.4620929710308,94.53,59.4,84.26,65.28,50,5.91615521933502,0.59474882512831,0.531451250680687,0.25667651651144,0.805626045722252,-0.221534406122318,-0.564703687482485,-0.56156571846263,14,24,"2006-11-16","IGCSE (British)"
"32","4279","Male",13.4620929710308,94.53,59.4,84.26,65.28,50,5.91615521933502,0.59474882512831,0.531451250680687,0.25667651651144,0.805626045722252,-0.221534406122318,-0.564703687482485,-0.56156571846263,14,24,"2006-11-16","IGCSE (British)"
"33","4279","Male",13.4620929710308,94.53,59.4,84.26,65.28,71.875,8.5044731277941,0.59474882512831,0.531451250680687,0.25667651651144,0.805626045722252,-0.221534406122318,-0.564703687482485,-0.56156571846263,14,24,"2006-11-16","IGCSE (British)"
"34","4284","Female",12.4184220375777,95.31,37.57,83.33,59.88,55.1724137931034,7.38722506393124,-0.965963077554333,-0.255173171722418,-0.144873909562309,-0.890884878927004,-0.432111357093367,-0.74517059718829,-1.10372473541277,6,7,"2007-11-10","IGCSE (British)"
"35","4286","Female",12.4266412156599,100,42.52,93.52,83.47,53.5714285714286,8.71524167946193,-0.902336542085438,-1.63793001644729,-1.4551347001577,-0.590046912466208,-0.749025233030475,-0.946146867562899,-0.895128628286038,11.5,11.5,"2007-11-07","IGCSE (British)"
"36","4287","Female",13.172131147541,98.44,67.93,77.78,55.54,62.5,5.82015262768251,-0.118662307750232,-0.733108601344537,-0.352173080687563,0.574954623566854,0.695242171034526,0.764105450375817,0.197217095861354,9,7,"2007-02-08","IGCSE (British)"
"37","4288","Male",14.8265738453477,98.44,82.45,89.81,105.44,71.875,9.73405602105647,0.313237991953559,0.00250707901336394,-0.383072044003127,0.047300453552817,0.36213677567794,0.457304866511678,0.190242720709249,13,12,"2005-06-23","American Diploma"
"38","4289","Female",12.9718466951119,92.97,42.4,43.52,11.79,66.6666666666667,7.44987167596038,-0.550783676892736,0.602947607126387,0.985700986431774,-0.180316421468644,-0.323312321648426,-0.448003137549519,-1.05223436824946,7,6,"2007-04-22","IGCSE (British)"
"39","4293","Male",13.120218579235,85.43,58.81,85.12,113.82,39.1304347826087,5.09615933614031,-0.0124702729600786,0.521956177827025,0.965470997800136,0.0106198889142051,-0.476832472299389,-0.384014299963767,-0.480755062271614,8,6,"2007-03-09","American Diploma"
"40","4293","Male",13.120218579235,85.43,58.81,85.12,113.82,15,1.95352774552045,-0.0124702729600786,0.521956177827025,0.965470997800136,0.0106198889142051,-0.476832472299389,-0.384014299963767,-0.480755062271614,8,6,"2007-03-09","American Diploma"
"41","4295","Male",13.4209297103077,87.5,83.95,78.7,152.43,50,6.64313888312228,0.963611622642143,-0.41636880162102,-0.433555530735956,0.449074040990039,-1.53156270314886,-1.22181633403279,-1.27482610764624,15,12.5,"2006-12-10","IGCSE (British)"
"42","4297","Male",15.2267759562842,86.72,63.48,76.85,66.34,NA,NA,-0.429739307135514,0.718970289212795,0.140415495458766,-0.359936301271939,-0.42542549184802,-0.130865043463014,-0.408939806368089,6,5.5,"2005-02-22","Other?"
"43","4299","Male",12.1748633879781,96.88,43.43,93.52,75.04,60,5.0217609641781,0.367636097187264,0.784950230992328,1.1047654587048,-0.164968627180686,0.618850078985677,0.43102005153207,0.431953999719689,8,4,"2008-02-16","IGCSE (British)"
"44","4301","Female",12.3553409686354,100,74.83,94.44,114.91,62.5,6.71779355414273,1.0102750568225,0.637485555567377,0.391919250260169,0.509549565961176,0.25650156057818,0.704108327743681,0.858253399431947,8,10,"2007-12-12","IGCSE (British)"
"45","4302","Female",11.9453551912568,99.22,18.48,97.22,50.9,56.6666666666667,3.15523195321959,-0.435501937727649,0.294815879275305,0.389773370225085,-0.069658211437333,0.0326745285083719,0.127922448900791,0.204878243535456,13,4,"2008-05-11","IGCSE (British)"
"46","4304","Male",12.6402724754847,97.66,31.42,73.15,96,53.3333333333333,6.63262265817898,-0.349342950153338,0.609141865037614,0.588083652870503,0.0972016784693838,0.568359509041649,0.127433000201114,-0.0302736257276916,9,9,"2007-08-30","IGCSE (British)"
"47","4305","Female",13.8346433116251,98.05,52.05,79.59,109.94,58.6206896551724,7.93845760771911,-1.2052029276256,0.476949819324308,0.478329246887582,-1.12896998859937,-0.956738890392393,-1.09604087057189,-1.2831581870565,6,7,"2006-07-10","National"
"48","4305","Female",13.8346433116251,98.05,52.05,79.59,109.94,50,6.77103737128983,-1.2052029276256,0.476949819324308,0.478329246887582,-1.12896998859937,-0.956738890392393,-1.09604087057189,-1.2831581870565,6,7,"2006-07-10","National"
"49","4309","Male",13.3306834343888,97.66,86.17,87.96,123.33,58.0645161290323,8.36189237883192,1.17643117485322,-0.123593819988718,-0.235448801433027,1.01435759363536,1.05891537622102,1.66967195326176,1.53885793386353,14,9,"2006-12-21","IGCSE (British)"
"50","4313","Female",12.4923272700052,96.09,35.76,80.77,91,75,8.01530796594385,-0.794252788941518,-0.453023103123521,-0.235868244595787,-0.863652304263628,-1.16777133727552,-0.533326833262542,-1.06613104834178,10,9,"2007-10-23","IGCSE (British)"
"51","4314","Male",14.6072460513511,99.22,72.66,91.67,105.79,75,6.52661044112635,0.0271792762012921,-0.532810790755796,-0.0570539223782348,0.219012117669966,-0.461930543316133,-0.822330464980532,-0.160147165020125,13,7,"2005-10-01","Other?"
"52","4315","Male",13.8347930234299,92.19,55.61,92.59,85.71,65.5172413793103,4.94780273699838,1.17616986321067,-0.118205687285142,-0.206075362875269,1.01574654951723,0.769896139259704,0.345738445241405,0.647363908675246,12,12.5,"2006-06-20","IGCSE (British)"
"53","4318","Female",12.2841530054645,86.72,57.61,77.78,88.3,64.5161290322581,5.98499292947898,-0.275679171498921,-0.0648475523762034,-0.0452808203136728,-0.458465013553613,-0.873709622544628,0.109506199518446,-0.419991234182864,4.5,7,"2008-01-07","IGCSE (British)"
"54","4319","Female",11.5901639344262,95.31,39.51,35.19,20.79,53.125,4.18247032616901,-0.232153480707747,0.928985272380174,1.03589843812957,0.120177497971044,-0.0324227372591959,-0.00605838448127946,0.0744946929782403,7.5,8,"2008-09-18","IGCSE (British)"
"55","4321","Female",12.1912568306011,95.31,65.49,76.85,125.29,72.4137931034483,9.29590771376952,-0.282914100134872,-0.843170590334438,-1.10347498506607,-0.433983065986238,-0.588244025822079,-0.256526080354122,-0.464434616133332,7,7,"2008-02-10","IGCSE (British)"
"56","4322","Female",12.0437158469945,96.09,84.59,81.48,118.61,71.875,9.36227509302102,-0.571015313651722,0.312214199143274,-0.128233483364102,-0.264948059276463,-0.133433912318991,0.986067972594236,0.39275009538841,13,5.5,"2008-04-05","IGCSE (British)"
"57","4324","Male",15.103825136612,95.31,88.84,97.22,55.31,70,10.4599533215689,0.580632360242487,0.118524820096996,0.392517849597281,0.819046906541876,0.86905682380868,1.619685742039,1.44256083750767,16,15.5,"2005-03-21","IGCSE (British)"
"58","4327","Male",15.1994535519126,93.75,88.31,91.67,151.9,66.6666666666667,9.34944242262752,0.478277377585998,0.453654454011983,0.566134737043273,0.338598892085937,0.0959636422180839,0.322164941864595,0.483706188502066,14,12,"2005-02-14","IGCSE (British)"
"59","4328","Male",15.0218579234973,98.44,76.32,83.33,116.92,65.625,6.10743772352391,0.265858759972875,-1.07745527109841,-0.675305035350227,-0.546000256656622,0.64636199555582,0.191231334555699,0.667612810657158,14,14,"2005-04-20","IGCSE (British)"
"60","4335","Female",13.3114754098361,91.41,98.89,85.19,152.4,78.125,6.28060917688446,-0.597109536766109,0.765686550121637,0.523990386449299,-0.468662696337932,-0.224205247440284,-0.488442983097618,-0.647177554705822,3.5,11,"2007-01-10","IGCSE (British)"
"61","4339","Female",14.6374803503256,94.53,74.58,92.59,132.65,75,5.46997742114876,0.130558343765066,-0.181491735413163,-0.0317989106963911,-0.211535958326169,-0.421527958367024,-0.0407027374424665,-0.136106102234292,11,7,"2005-09-07","IGCSE (British)"
"62","4341","Male",13.5716820121267,90.63,104.62,88.89,169.95,65.625,9.55114388484223,0.404669667557109,0.84064698693636,-0.191440211944952,-0.0215667560099541,0.820063958563119,0.312982860128197,0.0733549333454761,15,11,"2006-10-07","National"
"63","4342","Female",14.7963844599147,100,63.18,98.15,60.14,68.75,4.63674014941799,-0.239680414127649,-0.380105015632445,-0.919832587542994,0.153651158999559,0.364262401715307,0.345515485686674,0.180637472349803,14,14.5,"2005-07-11","IGCSE (British)"
"64","4343","Female",13.9662474736133,96.88,75.16,79.63,101.13,71.875,6.90110417666827,0.960155679060275,-0.401452297660639,-0.945587582014454,0.387877471293287,0.890261221201725,1.37459672903815,1.32873055384692,10,5,"2006-05-10","IGCSE (British)"
"65","4344","Female",15.483606557377,90.63,96.41,87.96,211.19,71.875,10.6066098628239,0.901622011922423,-0.297652886209331,-0.723314429690124,0.214952857804531,0.804625846245098,-0.221640817832032,-0.000600120975546975,14,14,"2004-11-09","American Diploma"
"66","4348","Female",15.1338797814208,88.28,59.62,92.59,70.94,58.0645161290323,9.46618322907871,0.57871234254685,0.0455615094575257,0.367139665627093,0.819148281854359,0.289391020613046,-0.309513081822129,0.181859416873483,8,9,"2005-03-10","IGCSE (British)"
"67","4350","Male",13.8867430196871,92.19,84.47,77.78,144.35,62.5,6.29684855323608,-0.758189103258661,0.44656223372994,0.101464695264828,-0.509401670602438,0.190853455008708,-0.907719964377795,-0.62601371850031,14,10,"2006-06-15","IB"
"68","4352","Male",14.7169324051201,98.44,71.03,87.74,118.57,65.625,8.19220206391478,-0.210488535602014,0.565663140069354,0.0921840545269848,0.1097631008538,1.50411941885496,1.80356089543206,1.78631270699341,1,14,"2005-08-09","IGCSE (British)"
"69","4355","Male",15.3524590163934,98.44,65.02,96.3,107.28,70,8.77480972989106,-1.00196379857002,0.164277307072584,-0.0690799465682441,-0.462971975430869,-0.554570770664421,-1.03253522365188,-0.709675357499783,13,14.5,"2004-12-21","IGCSE (British)"
"70","4356","Male",14.5278913092297,99.22,62.4,98.15,34.56,62.5,4.61273335818059,-0.333848936118276,0.903450103836626,0.698152940526509,0.262375286947806,-0.272541734480501,-0.0355316429748415,0.121657145623823,9,10,"2005-10-17","IGCSE (British)"
"71","4357","Male",14.7114529530653,97.66,69.81,70.37,201.61,56.25,9.47040556719545,0.0112042999528884,1.49735499481467,1.42808376765717,0.177967570346085,0.00785662076893288,-0.37080220125197,-0.313294668350057,8,8,"2005-08-11","IGCSE (British)"
"72","4360","Male",15.0300546448087,97.66,63.21,90.74,92.37,54.8387096774194,6.85000341315049,-0.340862941757336,0.616109134344327,-0.00631886687764871,-0.900049895800508,-0.79412652998142,-1.55878728448971,-1.30436854946777,8,9.5,"2005-04-24","American Diploma"
"73","4362","Male",15.5327868852459,98.44,101.61,92.59,132.97,78.125,8.69973363503546,-0.592821130475899,-0.118261700697825,-0.421668837822581,-0.401818839832341,-0.579131947254778,0.0759575891423923,0.0985449483403178,11,10,"2004-10-16","IGCSE (British)"
"74","4363","Female",14.7635077475859,98.44,70.46,99.07,47.22,64.2857142857143,5.76800650574166,0.612702870327712,1.68610032954591,1.7702137702705,0.855779790488828,0.667115368844555,0.192763036556031,0.325083097476198,13,15,"2005-07-23","IGCSE (British)"
"75","4364","Female",15.1174863387978,96.09,55.68,88.89,114.27,68.75,3.62444734666491,-0.0849734814574709,-0.212108930838838,-0.489496859750157,-0.414746441347681,-0.368523083530975,-0.596841890620121,-0.930266684610553,14.5,16,"2005-03-16","IGCSE (British)"
"76","4372","Male",14.771629612995,93.75,70.75,75,136.23,65.625,6.19306870626935,0.424142959130543,0.189105737282665,0.398869131690458,0.116873322415144,-0.45976035669435,-0.338089692458146,-0.790902619318792,9,6,"2005-08-02","National"
"77","4373","Female",14.6018639119695,97.66,130.97,75.93,41.57,68.75,9.55838673390715,-0.694582997668376,0.050626169026535,0.49819519713136,0.41925968076721,-0.274951378035942,0.340621184405228,0.613641962242476,15,14,"2005-09-20","IGCSE (British)"
"78","4374","Male",15.7950819672131,93.75,96.66,82.41,66.83,59.375,10.6260478872709,-1.09869993479643,0.639264978414908,-0.303688142240824,-0.608754343454503,-0.708715000878478,-0.201849741983501,-0.636135479363325,15,13,"2004-07-25","National"
"79","4376","Male",13.4730893030915,96.09,65.64,83.33,79.4,43.75,3.56938892061679,1.21697468821941,0.86468199025711,0.469924192202027,1.03889848863904,0.502734000344555,0.644650397590131,0.650618935972184,10,9,"2006-11-07","IGCSE (British)"
"80","4382","Female",13.1010928961749,76.56,59.81,79.63,16.34,60.8695652173913,6.89035120670171,-0.389295496978682,0.465502255746192,0.687493849465388,-0.178889670884858,-0.819351542845969,-0.84821396105187,-0.883684128732549,7.5,6.5,"2007-03-23","IGCSE (British)"
"81","4382","Female",13.1010928961749,76.56,59.81,79.63,16.34,62.5,7.07491418545264,-0.389295496978682,0.465502255746192,0.687493849465388,-0.178889670884858,-0.819351542845969,-0.84821396105187,-0.883684128732549,7.5,6.5,"2007-03-23","IGCSE (British)"
"82","4383","Male",13.3744591661052,73.44,84.8,81.48,127.78,71.875,5.05222993395618,0.0630440812125152,-0.758942269193924,0.0810181328919444,0.652938409166027,0.383934833009639,0.890762696695098,0.96183263873048,6,7.5,"2006-12-13","IGCSE (British)"
"83","4390","Male",13.5963769743244,89.84,88.59,89.81,167.58,60.7142857142857,8.83842863137085,0.333661095540599,-0.130368321923277,-0.542336658654011,0.121733180376223,-0.455375096896891,0.0341511757729344,-0.24858237316152,13,12,"2006-09-23","IGCSE (British)"
"84","4394","Female",13.6128153304888,94.53,85.39,81.48,165.83,66.6666666666667,7.05822150463637,1.19217205281161,0.322883772598282,0.214022363575232,1.03174440846407,1.10259450413856,1.03618359085878,1.24096289063476,12,12,"2006-09-17","IGCSE (British)"
"85","4400","Female",12.9278763380493,96.88,50.19,64.81,59.5,57.6923076923077,7.97141344851849,-0.300158458003048,-0.0934057151478272,-0.559379257874039,-0.300663931461994,-0.525019324416371,-0.264616812151549,-0.403312839910683,5.5,5.5,"2007-05-26","IGCSE (British)"
"86","4407","Male",12.9333557901041,97.66,77.53,84.26,86.83,62.0689655172414,9.90470996471906,0.432083994135948,0.249066718327682,-0.253760184072746,0.479664092359112,0.0117640799979328,0.0641291947387905,-0.300892067622649,11,7.5,"2007-05-24","IGCSE (British)"
"87","4408","Female",13.0601092896175,96.09,52.74,92.59,105.8,59.375,6.1528161831678,-0.229415834295787,-0.951979463320224,-0.71853655076057,-0.526539888960202,-0.602962084915957,-1.09427690387173,-0.815168080387246,12.5,4.5,"2007-04-08","IGCSE (British)"
"88","4413","Female",12.9223968859945,98.44,61.71,89.81,130.07,58.0645161290323,7.22919792718368,-0.0847736874618803,-0.338018124318484,-0.633421256584245,-0.569005368772134,-0.416557530583905,-1.33201673671896,-0.58539643185231,14,13,"2007-05-28","IGCSE (British)"
"89","4419","Male",13.1256830601093,94.14,60.51,93.52,74.98,62.0689655172414,8.05517706789541,0.677936252164989,0.261638602413243,-0.733221925357633,0.79300593238209,0.92953625280533,0.330779827398817,0.8979747877183,7,5,"2007-03-29","IGCSE (British)"
"90","4419","Male",13.1256830601093,94.14,60.51,93.52,74.98,68.75,8.92222737728693,0.677936252164989,0.261638602413243,-0.733221925357633,0.79300593238209,0.92953625280533,0.330779827398817,0.8979747877183,7,5,"2007-03-29","IGCSE (British)"
"91","4421","Male",12.8296279661651,99.22,50.35,95.37,29.56,38.0952380952381,6.17802361163399,-0.202542668293802,-0.924330870297378,-0.596762335520679,0.323043805835408,0.0423243532040047,0.00205508034519739,-0.234097475304593,8,2,"2007-05-11","IB"
"92","4423","Male",13.6511640092821,95.31,78.91,76.85,113.32,68.75,7.41974412307209,0.23473722074172,-0.00366575093882948,-0.0892561776157982,0.681391993762344,0.157647085808488,1.25792293990327,1.04327822830355,13,13,"2006-09-04","IGCSE (British)"
"93","4428","Male",13.4402051051725,89.06,79.95,91.67,58.48,65.625,9.46098555579965,-0.699934865533081,0.869671076702553,0.860549256976349,-0.402498108849456,0.230863523454967,-0.260413550713778,0.0222889684289354,14,15,"2006-11-20","IGCSE (British)"
"94","4430","Female",14.3689722284602,98.44,114.39,93.52,96.73,65.625,10.4685743368479,1.03879382891983,-0.280925236217887,-0.605950431706907,0.631212484050043,0.243855556129768,-0.160413282996685,-0.234509311353043,13,11,"2005-12-16","IGCSE (British)"
"95","4431","Female",14.3689722284602,96.09,90.63,89.81,107.72,62.5,10.8079131216712,-0.867159817918713,-1.63630232025034,-1.46878898968116,-0.844443354250578,-0.892849727031421,0.074485425026942,-0.652867914035398,12,10.5,"2005-12-16","IGCSE (British)"
"96","4432","Female",13.3251366120219,98.44,35.87,97.22,36.29,37.5,1.66225246290407,-0.977583187290342,-0.283325935154681,-0.318237400106852,-0.534680353374648,-0.970279066043442,-1.11063343880802,-1.20465960646918,12,10,"2007-01-01","IGCSE (British)"
"97","4433","Male",13.0874316939891,92.97,68.36,90.74,79.7,67.741935483871,7.74079806048249,0.456822603426848,-0.147617268561552,-0.844972796948089,0.723203962424927,0.729400180967652,0.509945721960588,0.911267969725168,14,13,"2007-03-29","IGCSE (British)"
"98","4435","Female",15.1475409836066,94.53,69.73,81.48,87.86,71.875,8.37160957724796,-0.940348794212674,-0.485175918371615,-0.29986875693885,-0.809802081519093,-1.15633172313393,-0.246084983528078,-1.04551011914913,12,12,"2005-03-07","IB"
"99","4436","Female",13.8237667490082,82.81,88.04,73.83,150.11,63.3333333333333,6.07198242657274,0.18500274890239,-0.38491885295787,-0.735870737463897,0.081063441075968,0.819011980302526,0.845945512810358,0.770551131541507,10,13,"2006-07-03","IGCSE (British)"
"100","4437","Female",13.7141777079123,97.66,35.83,89.81,72.9,78.125,6.19868480768804,-0.273249746080151,-0.473016736218765,-0.236413895263883,-0.147207243260801,0.618229130346074,0.841065721156457,0.726759842667071,12,8.5,"2006-08-12","IGCSE (British)"
"101","4440","Male",13.2021857923497,92.97,60.31,91.67,56.72,55.1724137931034,8.8595692518959,-0.461231247895628,-0.569268967402746,-1.01184046946748,-0.811692853580743,-0.699113193672881,-1.29026881317905,-1.23089552523379,9,8,"2007-02-15","IGCSE (British)"
"102","4447","Female",15.1639344262295,94.53,93.5,89.81,139.12,81.25,8.08476275765995,0.251787437984972,0.703957990832475,0.0831161493597573,0.6765087655181,0.62938616563781,0.609390250633879,0.666590089239866,11,11,"2005-03-01","American Diploma"
"103","4448","Female",14.388150310652,99.22,85.58,94.44,140.74,70,7.79419094177156,0.27909975096511,-0.509387889934752,-0.00783625057186261,0.14539023835271,0.262946438484784,0.53699834331771,0.101386179302145,14,14,"2005-12-09","IB"
"104","4449","Female",14.9415749681862,94.53,107.67,86.11,168.36,62.5,5.86394704621259,0.963413943427851,0.0580545076285096,0.372752880772502,0.455306777057421,0.0953141313779502,0.26259294628345,-0.665471380817242,14,9,"2005-05-21","American Diploma"
"105","4450","Female",14.6045886668164,99.22,88.97,93.52,100.98,62.5,8.04251595635166,-0.197284311470482,0.17698212285608,0.125487069246718,-0.296074053752625,-0.489405008531196,-1.04559876046542,-0.555534252839928,12,12,"2005-09-21","American Diploma"
"106","4451","Female",15.5983606557377,98.44,81.04,92.71,120.58,65.625,5.66137142293757,1.18213947585712,-0.0858729680553306,-0.439855374259489,1.00405549339358,0.308168878363633,1.49457124740196,1.19048839057735,10,10,"2004-09-24","American Diploma"
"107","4452","Female",14.9169174339397,96.09,54.71,100,31.41,56.25,5.77785640100891,0.994164377430761,-0.9739216274959,-0.573713828756281,0.607901806293263,-1.39069749545267,-0.72043606968334,-1.28287188233256,14,12,"2005-05-30","IB"
"108","4453","Female",15.4453551912568,96.09,57.08,89.62,154.02,70,8.12275864355456,-0.446571638905646,-1.14821227970632,-0.267664124112033,-0.894386695110085,-0.11931355625718,-0.113975320117659,-0.349502214700491,9,7.5,"2004-11-19","American Diploma"
