,ID,Gender,Certificate,Age,PostScore,PreScore,SS_ACC,FM_ACC,CB_ACC..2.,FM_EFF_Z,SS_EFF_Z,CB_EFF_Z,FM_stdres,CB_stdres,CBresid,SS_stdres,PostScore_stdres,PostScore_stdres,MG_S_stdres,SE_S_stdres,TV_stdres,MG_P_stdres,SE_P_stdres,PAV_stdres,PAp_stdres
15,4428,Male,IGCSE (British),13.44,16,16,91.67,89.06,65.63,0.36,-0.86,0.94,0.36,1.05,0.33,-0.85,1.49,1.49,0.10,0.35,-0.26,-0.72,-1.14,1.07,1.07
16,4780,Female,IB,14.26,15,14,90.74,96.09,78.13,0.56,0.79,-2.16,0.27,-2.34,0.25,0.70,0.93,0.93,-0.09,-0.30,0.04,-0.72,-0.53,-1.35,-1.12
17,4888,Female,IGCSE (British),14.66,12,14,99.07,99.22,50,-1.86,-1.67,-2.37,-2.37,-2.65,-2.21,-1.81,-0.03,-0.03,0.46,1.28,0.04,-0.19,1.22,1.22,1.37
18,4896,Female,IGCSE (British),14.74,16,16,98.15,98.44,60,0.38,-0.74,-0.89,0.03,-1.12,0.03,-0.89,1.04,1.04,1.00,0.49,0.54,-0.12,-1.36,0.42,0.12
19,4904,Male,IGCSE (British),13.05,16,16,93.52,96.09,75,0.81,0.18,-0.03,1.03,0.11,0.96,0.24,1.62,1.62,0.68,1.37,0.88,0.34,0.58,-1.13,-1.08
20,4908,Female,IGCSE (British),13.13,15,16,92.59,96.09,68.75,0.37,-0.47,0.42,0.52,0.57,0.49,-0.42,1.32,1.32,0.13,0.51,0.37,-0.09,0.07,-1.51,-1.33
21,4911,Female,IGCSE (British),14.92,16,16,86.11,96.09,61.29,1.13,1.63,0.01,0.86,-0.22,0.80,1.46,0.98,0.98,0.97,0.71,0.74,-0.03,0.03,-1.59,-1.50
22,4342,Female,IGCSE (British),14.8,16,14,98.15,100,68.75,-0.4,-0.82,-1.2,-0.80,-1.46,-0.74,-0.98,1.02,1.02,0.27,0.55,0.52,0.38,-0.33,-0.38,-1.03
23,4355,Male,IGCSE (British),15.35,14.5,15,96.3,98.44,70,-0.31,0.29,0.63,-0.56,0.33,-0.52,0.06,0.42,0.42,-0.88,-0.78,-1.24,-0.55,-1.46,0.45,0.22
24,4517,Female,IGCSE (British),13.51,13,14,98.15,97.66,60,-0.9,-0.36,-1.36,-1.02,-1.36,-0.96,-0.36,0.64,0.64,0.71,-0.34,1.19,-0.76,-0.76,0.88,0.45
25,4846,Male,IB,13.85,15,15,74.07,90.63,60,0.72,1.09,1.4,0.57,1.45,0.53,1.05,1.07,1.07,0.24,0.70,-0.65,0.06,1.26,-0.65,-1.30
26,4900,Male,IGCSE (British),14.03,16,14,84.26,100,71.88,-0.31,-0.09,-0.71,-0.60,-0.78,-0.56,-0.15,1.28,1.28,0.12,0.41,-0.10,-0.39,-0.01,0.81,0.75
27,4901,Female,IGCSE (British),14.07,15,14,96.3,96.09,68.75,0.85,-0.27,0.97,0.63,0.95,0.59,-0.34,1.00,1.00,0.09,0.37,-0.48,-1.17,-0.99,-0.39,-0.36
28,4914,Female,IGCSE (British),14.9,14,14,100,100,53.13,-1.15,-1.58,0.08,-1.59,-0.15,-1.48,-1.75,0.43,0.43,1.07,-0.02,1.07,0.36,-0.46,0.80,0.97
29,4243,Female,IGCSE (British),13.42,11,13,73.15,93.75,65.52,-0.48,0.04,0.87,-0.53,0.98,-0.50,0.05,0.12,0.12,-0.86,-1.07,-0.70,-0.33,-0.47,0.18,-0.24
30,4273,Male,IGCSE (British),12.97,14,15,98.15,93.75,65.63,-1.15,-0.89,0.2,-1.02,0.37,-0.96,-0.82,1.10,1.10,0.80,0.46,0.79,0.49,1.32,-0.30,-0.21
31,4275,Male,IGCSE (British),13.04,12,13,5.56,84.38,65.52,1.84,-1.82,0.55,2.14,0.72,2.00,-1.76,0.52,0.52,0.95,0.78,1.08,0.37,0.78,0.48,-0.07
32,4328,Male,IGCSE (British),15.02,16,15,83.33,98.44,65.63,0.2,0.51,-0.55,-0.12,-0.83,-0.11,0.32,0.95,0.95,0.89,0.98,0.32,-0.74,0.47,-1.29,-0.66
33,4344,Female,American Diploma,15.48,13.5,13,87.96,90.63,71.88,1.1,2.72,1.45,1.05,1.16,0.96,2.49,0.10,0.10,0.02,1.20,-0.21,0.57,1.47,-0.16,-0.62
34,4352,Male,IGCSE (British),14.72,1,15,87.74,98.44,65.63,-0.04,0.55,0.37,-0.42,0.20,-0.39,0.40,-3.09,-3.09,2.32,2.22,2.38,0.30,-0.29,0.89,0.31
35,4373,Female,IGCSE (British),14.6,14,13,75.93,97.66,68.75,2.67,-1.25,0.98,2.49,0.86,2.32,-1.38,0.54,0.54,0.82,-0.37,0.51,0.79,-1.04,0.17,0.83
36,4448,Female,IB,14.39,16,15,94.44,99.22,70,0.62,1.07,0.2,0.31,0.09,0.29,0.96,1.16,1.16,0.17,0.40,0.77,0.32,0.43,-0.63,0.11
37,4494,Female,IGCSE (British),12.46,2,13,92.59,99.22,68.75,-0.3,-0.36,-1.56,0.15,-1.37,0.14,-0.23,-2.04,-2.04,0.10,0.47,-0.22,0.31,0.84,0.72,1.39
38,4546,Male,IGCSE (British),12.73,10.5,15,78.7,80.47,65.63,0.78,0.3,0.3,1.17,0.52,1.09,0.40,0.22,0.22,-0.15,-0.49,0.28,-0.42,-0.19,-0.62,-1.04
39,4668,Male,IGCSE (British),13.41,15,15,90.65,96.09,50,-0.81,0.4,-0.54,-0.88,-0.48,-0.82,0.41,1.22,1.22,-0.62,-0.41,-0.17,-0.59,-0.54,0.57,0.39
40,4668,Male,IGCSE (British),13.41,15,15,90.65,96.09,50,-0.81,0.4,-0.54,-0.88,-0.48,-0.82,0.41,1.22,1.22,-0.62,-0.41,-0.17,-0.59,-0.54,0.57,0.39
41,4725,Female,American Diploma,13.37,12.5,13,92.59,98.44,65.63,-0.09,0.55,0.02,-0.09,0.11,-0.09,0.57,0.55,0.55,1.73,1.65,1.54,0.84,1.06,-1.06,-1.47
42,4785,Male,IB,15.02,14,15,90.74,93.75,62.5,0.11,0.78,-0.04,-0.22,-0.30,-0.20,0.59,0.39,0.39,0.62,0.05,0.78,1.23,0.41,-0.79,-1.11
43,4795,Male,IB,14.97,15,15,91.92,91.34,71.43,1.31,0.8,2.22,1.06,2.07,0.99,0.62,0.69,0.69,-0.25,-0.71,-0.63,-1.19,-0.90,-0.08,-0.68
44,4862,Female,IB,12.99,13.5,12,90.74,97.66,68.75,0.06,0.05,-0.37,0.26,-0.23,0.24,0.12,0.95,0.95,0.22,0.78,-0.40,-0.40,0.67,-1.96,-1.92
45,4869,Male,IB,12.45,16,15,97.22,98.44,71.88,-0.53,-1.18,-0.11,-0.10,0.14,-0.09,-1.05,1.83,1.83,1.52,1.62,1.05,-0.01,0.47,-1.00,-0.58
46,4897,Male,IGCSE (British),14.85,15,15,98.15,98.44,66.67,0.53,-1.37,0.16,0.20,-0.05,0.19,-1.54,0.73,0.73,-0.58,-0.29,0.14,-0.09,-0.62,-1.59,-1.48
47,4926,Female,IGCSE (British),14.62,14,13,90.74,98.44,65.52,1.28,0.69,0.24,1.00,0.08,0.93,0.55,0.53,0.53,-1.32,-1.80,-1.58,-1.11,-1.54,0.13,0.22
48,4500,Female,IGCSE (British),11.77,14,13,83.33,96.88,78.13,-0.53,0.36,-2.73,0.18,-2.48,0.16,0.58,1.52,1.52,0.39,0.10,0.27,-0.73,-1.12,-0.38,-0.45
49,4271,Male,IGCSE (British),14.29,15,14,84.26,97.66,71.88,0.37,0.05,0.15,0.06,0.06,0.06,-0.04,0.92,0.92,0.42,-1.01,0.50,0.66,0.73,-0.09,-0.19
50,4374,Male,National,15.8,16,14,82.41,93.75,59.38,1.12,-0.66,1.45,1.36,1.09,1.20,-0.95,0.68,0.68,-0.81,-1.02,-0.18,-0.73,-1.58,1.18,0.01
51,4413,Female,IGCSE (British),12.92,15,12,89.81,98.44,58.06,-0.46,0.82,-0.05,-0.26,0.12,-0.24,0.90,1.39,1.39,-0.67,-0.61,-1.62,-1.07,-0.24,-0.65,-1.02
52,4423,Male,IGCSE (British),13.65,15,14,76.85,95.31,68.75,0.31,0.43,0.03,0.21,0.06,0.19,0.41,1.14,1.14,1.39,0.25,1.68,1.08,0.29,-0.07,-0.15
53,4433,Male,IGCSE (British),13.09,15,14,90.74,92.97,67.74,-0.16,-0.36,0.17,-0.03,0.32,-0.02,-0.30,1.33,1.33,1.24,1.08,0.73,1.07,0.60,-0.37,-1.26
54,4436,Female,IGCSE (British),13.82,10,12,73.83,82.81,63.33,0.73,1.29,-0.57,0.59,-0.60,0.55,1.25,-0.30,-0.30,1.04,1.21,1.16,0.12,0.25,-0.55,-0.98
55,4458,Female,IB,15.03,16,14,97.22,97.66,64.52,-0.08,-1.13,1.12,-0.42,0.91,-0.39,-1.32,0.94,0.94,1.13,1.48,0.77,0.05,0.99,0.74,0.48
56,4802,Female,IB,15.16,15,14,87.96,95.31,67.86,1.36,1.7,1.36,1.16,1.13,1.08,1.50,0.62,0.62,-1.34,-0.71,-0.96,-1.05,-1.42,-2.03,-1.68
57,4803,Female,IB,14.43,14,14,89.72,98.44,68.75,0.54,0.52,0.59,0.22,0.49,0.21,0.41,0.60,0.60,-1.47,-1.22,-1.52,-1.66,-2.03,-0.66,-0.01
58,4828,Male,IB,12.64,13,14,88.89,86.72,61.29,0.39,0.37,1.37,0.79,1.65,0.74,0.48,0.94,0.94,-1.34,-0.84,-1.29,-1.34,-1.53,-0.93,-0.82
59,4885,Female,IGCSE (British),14.83,16,14,91.67,96.88,68.97,-0.32,-0.85,0.55,-0.71,0.36,-0.66,-1.01,1.01,1.01,1.11,0.96,0.54,0.69,1.03,0.60,1.22
60,4906,Female,IGCSE (British),12.89,13,12,99.07,100,68.97,-0.31,-0.77,0.81,-0.08,1.02,-0.08,-0.69,0.85,0.85,0.86,1.37,0.57,0.84,1.03,1.67,1.32
61,4919,Female,IGCSE (British),15.44,16,12,96.3,96.09,65.63,0.23,-0.06,-0.81,0.07,-1.20,0.07,-0.30,0.80,0.80,-0.02,0.42,-0.37,-1.36,-0.94,1.15,0.99
62,4249,Female,IGCSE (British),13.94,14,11,90.48,96.85,51.85,1.39,-0.21,0.65,1.25,0.65,1.17,-0.26,0.76,0.76,-0.14,0.41,0.60,0.84,0.61,0.17,0.59
63,4295,Male,IGCSE (British),13.42,16,13,78.7,87.5,50,0.54,1.35,-0.31,0.56,-0.25,0.52,1.36,1.49,1.49,-1.54,-2.23,-1.48,0.67,1.39,-0.67,-0.65
64,4315,Male,IGCSE (British),13.83,12,11,92.59,92.19,65.52,-0.74,-0.22,-1.07,-0.99,-1.12,-0.92,-0.26,0.25,0.25,0.89,1.14,0.52,1.66,1.76,-0.20,-0.27
65,4723,Female,American Diploma,13.88,15,11,92.59,95.31,75,-0.61,-0.01,0,-0.87,-0.02,-0.81,-0.05,1.06,1.06,1.31,1.43,0.71,1.33,0.83,-0.35,0.12
66,4806,Male,IB,15.04,10.5,13,93.52,96.88,56.25,0.44,-0.1,-0.4,0.14,-0.68,0.13,-0.29,-0.58,-0.58,-0.85,-0.58,-0.35,-0.76,-1.25,-1.10,-0.56
67,4912,Female,IGCSE (British),14.93,14,13,92.59,93.75,62.07,1,0.51,0.07,0.72,-0.16,0.67,0.34,0.42,0.42,-0.60,0.70,-0.67,0.41,0.67,0.39,0.80
68,4241,Male,IGCSE (British),12.78,15,11,89.81,93.75,57.69,-0.68,-1.07,1.19,-0.42,1.44,-0.39,-0.98,1.44,1.44,1.36,1.82,1.65,1.11,0.76,-0.97,-1.51
69,4288,Male,American Diploma,14.83,14,13,89.81,98.44,71.88,0.47,0.24,1.06,0.14,0.89,0.13,0.08,0.46,0.46,0.28,0.55,0.66,0.22,0.51,0.14,-0.30
70,4327,Male,IGCSE (British),15.2,15,13,91.67,93.75,66.67,0.74,1.33,0.89,0.51,0.64,0.48,1.12,0.61,0.61,0.64,0.17,0.49,0.75,0.80,0.81,1.05
71,4390,Male,IGCSE (British),13.6,14,11,89.81,89.84,60.71,0.75,1.7,0.66,0.70,0.73,0.65,1.69,0.88,0.88,-0.25,-0.66,0.11,0.16,0.44,-0.25,-0.76
72,4394,Female,IGCSE (British),13.61,13,13,81.48,94.53,66.67,0.61,1.66,-0.13,0.55,-0.10,0.51,1.65,0.60,0.60,1.64,1.62,1.40,1.65,1.76,0.36,0.24
73,4435,Female,IB,15.15,14,13,81.48,94.53,71.88,-0.1,-0.17,0.45,-0.41,0.19,-0.38,-0.37,0.35,0.35,-1.31,-1.68,-0.24,-1.15,-1.38,-0.47,-0.13
74,4450,Female,American Diploma,14.6,12.5,13,93.52,99.22,62.5,0.77,0.14,0.31,0.45,0.16,0.42,0.01,0.12,0.12,-0.67,-0.70,-1.26,-0.39,-0.29,0.34,0.34
75,4452,Female,IB,14.92,15,11,100,96.09,56.25,-0.78,-1.49,-0.7,-1.19,-0.96,-1.11,-1.67,0.70,0.70,-1.60,-2.02,-0.84,1.15,1.56,-1.16,-0.53
76,4564,Male,IGCSE (British),13.09,15,13,92.59,99.22,81.25,0.63,0.59,-1.02,0.82,-0.92,0.77,0.64,1.33,1.33,0.92,0.10,0.41,0.10,0.78,-0.88,0.15
77,4592,Male,Other?,12.5,13,11,92.45,89.06,56.25,-0.42,0.44,-0.69,-0.00,-0.47,-0.00,0.57,0.99,0.99,1.00,0.06,1.48,0.76,1.06,1.31,0.56
78,4830,Male,IB,13.05,14.5,13,88.89,98.44,68.75,-0.43,-0.25,0.48,-0.29,0.65,-0.28,-0.19,1.21,1.21,-0.36,-1.37,0.52,-3.00,-2.55,-0.89,0.39
79,4258,Male,IGCSE (British),14.48,9,12,100,71.88,53.33,-1.89,-1.12,-0.43,-2.39,-0.59,-2.23,-1.24,-0.80,-0.80,0.54,0.56,0.96,0.43,-0.10,2.32,2.47
80,4268,Female,IGCSE (British),13.26,12,11,87.04,99.22,68.75,0.21,-0.6,-0.57,0.28,-0.49,0.26,-0.57,0.45,0.45,0.34,-0.84,0.65,-1.23,-0.96,0.27,-0.55
81,4278,Male,American Diploma,13.59,13,10,94.44,97.66,60,2.13,-0.37,0.43,2.18,0.49,2.04,-0.38,0.61,0.61,-1.47,-1.96,-1.20,-1.76,-1.06,-1.33,-1.21
82,4286,Female,IGCSE (British),12.43,12,12,93.52,100,53.57,-1.33,-0.27,0.61,-0.95,0.90,-0.88,-0.13,0.74,0.74,-1.05,-1.09,-1.14,-1.17,-1.54,-2.50,-2.23
83,4880,Male,IGCSE (British),15.53,16,11,95.37,98.44,68.75,0.46,0.25,1.16,0.38,0.85,0.35,-0.00,0.77,0.77,0.72,0.22,-0.14,-0.31,1.17,-1.56,-0.83
84,4248,Female,IGCSE (British),13.63,11.5,9,96.7,98.44,75,0.7,-0.53,-0.1,0.63,-0.07,0.59,-0.54,0.18,0.18,1.82,1.10,2.10,0.78,0.63,-0.49,-0.30
85,4335,Female,IGCSE (British),13.31,4.5,11,85.19,91.41,78.13,1.22,1.35,-0.47,1.34,-0.39,1.25,1.38,-1.64,-1.64,-0.75,-0.31,-0.55,-0.85,-1.00,0.92,0.59
86,4341,Male,National,13.57,14,12,88.89,90.63,65.63,1.48,1.76,0.98,1.50,1.06,1.40,1.75,0.89,0.89,0.16,1.21,0.47,-0.08,0.55,1.06,-0.30
87,4430,Female,IGCSE (British),14.37,14,12,93.52,98.44,65.63,1.92,0.04,1.38,1.71,1.32,1.59,-0.06,0.62,0.62,-0.24,0.37,-0.13,1.10,1.59,-0.32,-0.70
88,4447,Female,American Diploma,15.16,12,12,89.81,94.53,81.25,0.97,1.03,0.33,0.75,0.06,0.69,0.83,-0.21,-0.21,0.88,0.95,0.86,1.30,0.45,1.15,0.38
89,4537,Male,IGCSE (British),12.9,7,10,76.85,98.44,68.97,0.61,1.79,1.61,0.90,1.85,0.84,1.87,-0.81,-0.81,-0.54,-0.46,0.08,-0.43,-0.61,-0.83,-0.12
90,4540,Male,IGCSE (British),12.61,14,12,93.52,91.41,59.38,0.48,1.48,-0.01,0.91,0.22,0.85,1.60,1.22,1.22,-0.06,1.16,-2.12,-0.02,1.13,-2.37,-2.16
91,4767,Male,IB,13.22,14,12,89.81,71.88,63.33,0.67,-0.29,1,0.80,1.15,0.74,-0.25,1.01,1.01,-0.83,-0.62,-0.75,-2.22,-1.64,-0.76,-1.42
92,4789,Male,IB,14.79,16,12,94.44,95.31,58.06,2.44,-0.09,1.67,2.25,1.54,2.09,-0.25,1.03,1.03,0.71,-0.10,-0.03,1.31,0.54,0.61,0.65
93,4813,Male,IB,14.35,13,11,97.22,97.66,75,0.16,-0.56,0.36,-0.17,0.26,-0.16,-0.66,0.35,0.35,-0.26,-0.16,-0.51,-0.52,0.29,0.12,0.42
94,4836,Male,IB,13.48,16,12,91.67,96.09,59.38,1.71,0.46,0.47,1.78,0.55,1.67,0.47,1.47,1.47,0.06,1.43,-0.45,0.12,0.36,-0.53,-0.25
95,4838,Male,IB,13.21,10,9,83.33,87.5,74.19,1.5,1.02,-0.08,1.69,0.03,1.58,1.06,-0.09,-0.09,-1.79,-1.39,-1.90,-1.49,-1.68,-0.47,-0.39
96,4910,Female,IGCSE (British),14.21,11,10,91.67,97.66,68.75,0.91,1.08,-0.1,0.66,-0.19,0.61,0.99,-0.16,-0.16,-0.08,-0.20,0.29,-0.48,-1.47,-1.12,-1.36
97,4431,Female,IGCSE (British),14.37,12.5,11,89.81,96.09,62.5,0.84,0.3,1.54,0.55,1.49,0.51,0.19,0.20,0.20,-0.78,-1.28,0.17,-1.31,-1.33,-2.16,-1.84
98,4922,Female,IGCSE (British),15.3,12.5,11,98.15,99.22,8.33,-0.04,-1.02,-2.91,-0.29,-3.36,-0.27,-1.25,-0.12,-0.12,0.15,-0.24,0.23,0.71,0.47,1.06,0.76
99,4267,Female,IGCSE (British),12.75,11,8,84.26,94.53,60.71,-0.73,0.5,0.09,-0.46,0.30,-0.43,0.60,0.35,0.35,0.83,-0.15,1.25,-0.60,0.46,0.27,1.13
100,4301,Female,IGCSE (British),12.36,7,9,94.44,100,62.5,0.13,0.47,-0.28,0.65,-0.02,0.61,0.62,-0.62,-0.62,1.19,0.38,0.97,0.62,1.38,0.58,0.23
101,4350,Male,IB,13.89,16,11,77.78,92.19,62.5,0.57,1.16,-0.47,0.39,-0.51,0.37,1.11,1.33,1.33,-0.74,0.29,-1.08,-0.83,-1.20,0.58,0.15
102,4356,Male,IGCSE (British),14.53,10,11,98.15,99.22,62.5,-0.43,-1.42,-1.21,-0.83,-1.41,-0.77,-1.54,-0.54,-0.54,0.20,-0.38,0.02,0.52,-0.49,1.30,1.08
103,4362,Male,IGCSE (British),15.53,12,10,92.59,98.44,78.13,1.34,0.89,0.6,1.34,0.26,1.23,0.64,-0.34,-0.34,0.15,-0.83,0.18,-0.42,-0.81,0.10,-0.21
104,4432,Female,IGCSE (British),13.33,13,10,97.22,98.44,37.5,-1.63,-1.38,-2.52,-1.72,-2.53,-1.61,-1.35,0.70,0.70,-1.45,-1.41,-1.34,-0.95,-1.58,-0.50,-0.52
105,4451,Female,American Diploma,15.6,12,10,92.71,98.44,65.63,0.41,0.6,-0.75,0.38,-1.17,0.34,0.34,-0.36,-0.36,1.54,0.48,1.99,1.89,1.92,0.15,-0.22
106,4770,Female,IB,15.5,9,8,80.49,95.31,58.62,-0.79,0.22,0.95,-1.00,0.63,-0.92,-0.03,-1.16,-1.16,0.29,-1.03,-0.27,0.94,0.60,-0.52,0.13
107,4786,Male,IB,15.48,14.5,11,97.22,100,68.75,0.02,-0.14,0.57,-0.13,0.24,-0.12,-0.39,0.37,0.37,0.15,-0.37,-0.08,0.08,-0.91,0.36,0.92
108,4219,Male,IB,13.12,8,8,86.11,97.66,68.75,-1.12,-1.93,1.2,-1.07,1.38,-1.00,-1.88,-0.61,-0.61,1.22,1.40,0.93,1.69,1.79,2.17,2.22
109,4242,Male,IGCSE (British),12.45,5,10,93.46,96.88,42.11,-0.85,-0.16,-1.9,-0.44,-1.72,-0.41,-0.02,-1.20,-1.20,-4.44,-4.38,-4.35,-1.32,-1.09,0.84,-0.02
110,4260,Male,IGCSE (British),15.33,11.5,10,90.63,97.66,63.33,0.23,0.43,2.31,0.02,2.09,0.02,0.21,-0.41,-0.41,0.88,1.35,0.97,0.30,0.51,-0.20,-0.30
111,4360,Male,American Diploma,15.03,7,8,90.74,97.66,54.84,-0.4,-0.06,-0.22,-0.76,-0.49,-0.71,-0.25,-1.55,-1.55,-1.63,-1.14,-1.92,-1.32,-0.47,1.01,0.24
112,4502,Female,IGCSE (British),13.37,9.5,8,19.44,91.41,40,-0.26,-0.42,-0.74,-0.27,-0.68,-0.26,-0.40,-0.28,-0.28,-0.69,-0.13,-0.31,-0.69,-0.94,0.68,0.21
113,4717,Female,American Diploma,13.72,12,9,96.3,96.09,47.37,-0.21,-0.78,-0.37,-0.38,-0.37,-0.35,-0.80,0.29,0.29,0.84,0.31,0.48,1.24,0.79,-2.19,-1.89
114,4839,Female,IB,13.83,7.5,8,84.26,96.09,78.13,0.99,0.89,0.08,0.86,0.08,0.81,0.85,-0.99,-0.99,-1.15,-1.42,-0.89,-2.28,-1.75,0.68,0.17
115,4229,Female,IB,12.45,9,8,94.44,90.63,47.83,-2.03,-1.24,-0.37,-1.71,-0.13,-1.59,-1.11,-0.10,-0.10,0.99,1.15,0.86,1.60,1.74,2.06,2.09
116,4304,Male,IGCSE (British),12.64,10,8,73.15,97.66,53.33,-1.83,0.02,-0.32,-1.58,-0.11,-1.48,0.13,0.11,0.11,0.05,0.84,0.24,-0.01,-0.68,0.59,0.55
117,4309,Male,IGCSE (British),13.33,15,9,87.96,97.66,58.06,0.64,0.66,0.45,0.71,0.56,0.66,0.68,1.25,1.25,2.03,1.56,2.21,1.58,1.72,-0.28,-0.42
118,4313,Female,IGCSE (British),12.49,12,10,80.77,96.09,75,-1.64,-0.1,0.3,-1.31,0.56,-1.22,0.03,0.71,0.71,-1.27,-1.71,-0.60,-1.61,-1.36,-0.88,-0.59
119,4348,Female,IGCSE (British),15.13,8,8,92.59,88.28,58.06,-0.56,-0.57,0.94,-0.91,0.70,-0.85,-0.77,-1.30,-1.30,0.26,0.45,-0.32,1.52,0.95,0.26,0.76
120,4376,Male,IGCSE (British),13.47,11,10,83.33,96.09,43.75,-0.29,-0.37,-1.68,-0.35,-1.68,-0.33,-0.36,0.10,0.10,0.90,0.74,0.89,1.64,1.79,1.07,0.56
121,4449,Female,American Diploma,14.94,15,8,86.11,94.53,62.5,1.61,1.72,-0.66,1.37,-0.93,1.28,1.55,0.70,0.70,-0.82,0.17,0.41,0.91,1.52,0.24,0.73
122,4456,Female,American Diploma,14.58,11,8,80.56,99.22,75,-0.55,-0.27,-0.28,-0.96,-0.45,-0.90,-0.40,-0.28,-0.28,0.11,-0.10,-0.05,-0.18,-0.21,-0.18,0.08
123,4459,Female,American Diploma,15.06,16,10,98.15,98.44,68.75,0,-0.64,-1.26,-0.33,-1.58,-0.30,-0.83,0.93,0.93,-0.13,1.40,-0.56,0.23,1.36,-0.39,-1.03
124,4465,Male,IGCSE (British),13.11,7,8,86.11,94.53,48.39,0.99,0.35,-0.45,1.19,-0.33,1.12,0.40,-0.88,-0.88,-0.42,-0.72,-0.80,-0.27,0.00,0.94,0.01
125,4536,Male,IGCSE (British),13.2,7,9,63.64,89.06,59.26,-0.31,-1.11,0.41,-0.24,0.54,-0.23,-1.07,-0.91,-0.91,-1.07,-0.90,-1.21,-0.91,-0.83,-2.33,-2.07
126,4585,Male,IGCSE (British),12.15,7.5,10,94.44,96.88,63.33,1.35,0.23,1.55,2.06,1.93,1.92,0.40,-0.41,-0.41,1.80,1.65,1.62,1.22,1.09,-1.11,-0.88
127,4730,Female,American Diploma,14,15,10,86.11,94.53,56.25,1.69,1.39,-0.65,1.55,-0.72,1.45,1.33,1.02,1.02,0.26,0.32,-0.40,1.08,1.56,0.12,0.01
128,4740,Male,National,11.2,14,10,80.56,91.41,58.06,-0.27,1.09,0.55,0.56,1.05,0.51,1.39,1.72,1.72,-0.93,-1.20,-0.93,0.41,-0.94,1.13,0.56
129,4784,Male,IB,15.02,13.5,10,89.81,96.88,68.75,0.94,2.71,-0.52,0.67,-0.80,0.63,2.53,0.26,0.26,-1.68,-1.85,-1.33,-0.71,-0.99,-0.34,-0.74
